,State,County,Sector,Pollutant,Pollutant Type,Total Emissions,Emissions Unit of Measure
116,OK,Cimarron,All Sectors,Sulfur Dioxide,CAP,366.9408390271408,TON
117,OK,Cimarron,All Sectors,Volatile Organic Compounds,CAP,32837.14451166679,TON
118,OK,Cimarron,All Sectors,Carbon Dioxide,GHG,6288783.85453454,TON
119,OK,Cimarron,All Sectors,Methane,GHG,636.0980759670491,TON
120,OK,Cimarron,All Sectors,Nitrous Oxide,GHG,1278.354265238612,TON
121,OK,Cleveland,All Sectors,Ammonia,CAP,5433.524385651987,TON
122,OK,Cleveland,All Sectors,Carbon Monoxide,CAP,102943.69195923528,TON
123,OK,Cleveland,All Sectors,Nitrogen Oxides,CAP,6020.552927457315,TON
124,OK,Cleveland,All Sectors,PM10 Primary (Filt + Cond),CAP,3320.3736009592894,TON
125,OK,Cleveland,All Sectors,PM2.5 Primary (Filt + Cond),CAP,8634.898661928219,TON
126,OK,Cleveland,All Sectors,Sulfur Dioxide,CAP,366.9408390271408,TON
127,OK,Cleveland,All Sectors,Volatile Organic Compounds,CAP,32837.14451166679,TON
128,OK,Coal,All Sectors,Ammonia,CAP,5433.524385651987,TON
129,OK,Coal,All Sectors,Carbon Monoxide,CAP,102943.69195923528,TON
130,OK,Coal,All Sectors,Nitrogen Oxides,CAP,6020.552927457315,TON
131,OK,Coal,All Sectors,PM10 Primary (Filt + Cond),CAP,3320.3736009592894,TON
132,OK,Coal,All Sectors,PM2.5 Primary (Filt + Cond),CAP,8634.898661928219,TON
133,OK,Coal,All Sectors,Sulfur Dioxide,CAP,366.9408390271408,TON
134,OK,Coal,All Sectors,Volatile Organic Compounds,CAP,32837.14451166679,TON
135,OK,Coal,All Sectors,Carbon Dioxide,GHG,6288783.85453454,TON
136,OK,Coal,All Sectors,Methane,GHG,636.0980759670491,TON
137,OK,Coal,All Sectors,Nitrous Oxide,GHG,1278.354265238612,TON
138,OK,Comanche,All Sectors,Ammonia,CAP,5433.524385651987,TON
139,OK,Comanche,All Sectors,Carbon Monoxide,CAP,102943.69195923528,TON
140,OK,Comanche,All Sectors,Nitrogen Oxides,CAP,6020.552927457315,TON
141,OK,Comanche,All Sectors,PM10 Primary (Filt + Cond),CAP,3320.3736009592894,TON
142,OK,Comanche,All Sectors,PM2.5 Primary (Filt + Cond),CAP,8634.898661928219,TON
143,OK,Comanche,All Sectors,Sulfur Dioxide,CAP,366.9408390271408,TON
144,OK,Comanche,All Sectors,Volatile Organic Compounds,CAP,32837.14451166679,TON
145,OK,Cotton,All Sectors,Ammonia,CAP,5433.524385651987,TON
146,OK,Cotton,All Sectors,Carbon Monoxide,CAP,102943.69195923528,TON
147,OK,Cotton,All Sectors,Nitrogen Oxides,CAP,6020.552927457315,TON
148,OK,Cotton,All Sectors,PM10 Primary (Filt + Cond),CAP,3320.3736009592894,TON
