,State,Year,Total Housing Units,House Heating Fuel: Gas,House Heating Fuel: Propane,House Heating Fuel: Electric,House Heating Fuel: Fuel Oil,House Heating Fuel: Wood,Year Built: 2010-2013,Year Built: 2000-2009,Year Built: 1990-1999,Year Built: 1980-1989,Year Built: 1970-1979,Year Built: 1960-1969,Year Built: 1950-1959,Year Built: 1940-1949,Year Built: before 1940,Units in Structure: 1 DETACHED,Units in Structure: 1 ATTACHED,Units in Structure: 2,Units in Structure: 3-4,Units in Structure: 5-9,Units in Structure: 10-19,Units in Structure: 20-49,Units in Structure: 50+,Units in Structure: Mobile Home,"Units in Structure: Boat,RV,Van,Etc.",Number of Rooms: 1,Number of Rooms: 2,Number of Rooms: 3,Number of Rooms: 4,Number of Rooms: 5,Number of Rooms: 6,Number of Rooms: 7,Number of Rooms: 8,Number of Rooms: 9+,Median Number of Rooms,Owner-Occupied,Renter-Occupied,Avg household size of owner-occupied unit,Avg household size of renter-occupied unit,Household Income: Total:,"Household Income: Less than $10,000","Household Income: $10,000 to $14,999","Household Income: $15,000 to $19,999","Household Income: $20,000 to $24,999","Household Income: $25,000 to $29,999","Household Income: $30,000 to $34,999","Household Income: $35,000 to $39,999","Household Income: $40,000 to $44,999","Household Income: $45,000 to $49,999","Household Income: $50,000 to $59,999","Household Income: $60,000 to $74,999","Household Income: $75,000 to $99,999","Household Income: $100,000 to $124,999","Household Income: $125,000 to $149,999","Household Income: $150,000 to $199,999","Household Income: $200,000 or more",Median Household Income,Total Population,Year Built: 2014 or later
22,Michigan,2010,4529680,2997239,352528,270560,78658,105886,100312,321086,580582,450633,709303,549176,700319,388636,729633,3247891,206923,127125,118986,190086,165199,92250,125597,254755,868,42220,83354,324955,663229,998108,928599,612658,404734,471823,5.7,7459103,2257734,2.62,2.28,3843997,304785,219924,217352,225324,214236,216322,202568,199996,175005,328432,400147,466664,279224,153920,134211,105887,48432.0,9952687,
23,Minnesota,2010,2327948,1413467,213532,292297,79014,50717,82884,214976,315505,303204,378637,235409,249187,120227,427919,1572354,166534,56287,48953,52372,83266,116251,144527,86943,461,29453,63488,213796,332774,381191,359141,309540,258217,380348,5.9,3989233,1116935,2.58,2.08,2085917,119223,99885,97070,98652,97769,102435,97835,103518,90522,180425,239194,298118,185737,99690,93216,82628,57243.0,5241914,
24,Mississippi,2010,1255090,361117,165542,529917,1873,18826,65673,122398,230130,202181,243095,164820,103365,54198,69230,876616,16450,27672,38415,56871,23451,10963,9924,191908,2820,9015,20458,77562,210607,347431,271231,151590,84610,82586,5.4,2030965,817814,2.65,2.59,1081052,125777,91335,81825,75908,66532,64150,57585,52134,46919,84837,98319,106319,58528,27625,23375,19884,37881.0,2941991,
25,Missouri,2010,2687610,1271439,255628,713881,8119,89625,104834,215362,395612,343895,437335,321696,296355,151408,421113,1883673,90433,97013,125030,102961,91792,49311,60088,185856,1453,28173,47132,192489,442213,618505,517794,335973,235366,269965,5.5,4189759,1559468,2.55,2.21,2349955,186227,144648,138744,145725,141621,137274,126986,125404,109687,205912,246350,274407,157620,81448,69363,58539,46262.0,5922314,
26,Montana,2010,471723,226740,51713,75582,7472,33481,18895,36906,70133,56693,92234,42468,47663,29150,77581,326537,12708,16136,20934,15058,10299,7772,6765,55137,377,9286,15007,39199,86916,98864,74513,51696,40313,55929,5.4,675598,269715,2.44,2.17,401328,30672,26642,26362,27081,24715,25013,22706,22504,19470,35259,42494,45941,24093,11457,9390,7529,43872.0,973739,
27,Nebraska,2010,788218,461865,58483,166617,5482,10749,26236,55701,91581,74273,136921,92695,81280,43777,185754,575440,28814,16338,21201,29991,37387,26852,20560,31392,243,7018,19465,65157,116902,136318,129271,108983,88035,117069,5.9,1260902,486979,2.58,2.18,711771,45321,41617,38655,43145,41421,41886,37969,36309,34033,65197,81505,90871,51230,25326,19998,17288,49342.0,1799125,
28,Nevada,2010,1140555,621880,34339,296118,8690,11754,101848,222671,317314,192844,165894,74035,37590,14119,14240,675639,55109,16126,70983,103515,69554,28958,46206,72403,2062,22947,29324,108062,208722,250145,229948,139642,79804,71961,5.3,1583571,1014116,2.69,2.6,979621,55595,38868,45250,48630,50461,52943,48297,50786,43892,89996,114806,135345,82563,47214,41141,33834,55726.0,2633331,
29,New Hampshire,2010,607758,101377,65938,39375,268491,30715,16520,42773,66192,122902,97593,55371,45772,25389,135246,384679,30533,35783,35416,30196,18539,25279,10830,36418,85,7650,14865,53102,106576,116076,108244,80506,55908,64831,5.6,977665,296811,2.62,2.11,513804,23733,20466,20266,22622,22452,23166,22286,24067,22536,41720,58406,75988,52069,31636,29380,23011,63277.0,1313939,
30,New Jersey,2010,3529033,2302833,64988,335220,443882,10987,88597,206823,314951,410078,458855,500460,569387,314583,665299,1899905,325488,333605,230462,175115,178518,134931,214387,35742,880,92798,90120,366109,525907,584989,576261,450967,376667,465215,5.7,5982234,2550859,2.81,2.43,3176069,167356,126043,125327,126269,125691,125205,117146,124662,112358,233173,304514,428486,332631,216339,248860,262009,69811.0,8721577,
31,New Mexico,2010,887890,510489,81390,105560,1090,48670,38159,80122,165001,157660,169485,93026,94079,39860,50498,571109,33868,16572,33360,25536,22598,15489,19642,148409,1307,19950,21964,69624,158481,225695,180197,107610,57033,47336,5.3,1405692,565072,2.67,2.46,756112,70119,49824,46610,49852,44337,45592,40451,40283,34191,61668,73372,82370,48633,27012,23845,17953,43820.0,2013122,
32,New York,2010,8050835,3844518,225441,638099,2254861,126851,130469,284414,485825,605463,820471,997039,1243491,742570,2741093,3387703,390953,877363,591818,429203,334146,635975,1199327,201159,3188,264766,326396,1215884,1468581,1354259,1242547,847793,616856,713753,5.1,10934776,7702040,2.75,2.39,7205740,580138,384225,361682,357313,336793,342472,312537,315056,279314,549253,701689,878506,605937,367431,394523,438871,55603.0,19229752,
33,North Carolina,2010,4229552,916566,362823,2018924,232802,77685,242715,513028,896428,725467,648184,428956,338842,177508,258424,2754734,152868,95094,120154,185129,171697,91146,51984,605418,1328,30394,61979,290113,782172,1038419,814794,508949,330440,372292,5.4,6257800,2754510,2.54,2.38,3626179,307800,229967,217858,222583,213884,217879,193022,190287,169331,306870,369287,409499,234497,124653,112540,106222,45570.0,9271178,
34,North Dakota,2010,312861,115070,38990,98629,15278,1747,11841,19455,34829,39557,68839,34417,32424,16309,55190,192637,15391,7192,12538,13468,17339,22265,8288,23719,24,3710,9702,26322,56981,56132,44274,36081,31246,48413,5.6,458986,175693,2.49,1.9,276642,21801,17624,16011,16678,16400,16372,14608,14114,12841,23924,31165,34795,18464,9049,6470,6326,46781.0,659858,
35,Ohio,2010,5107273,3099918,259832,912811,149703,82645,123675,335468,595302,456878,734288,633665,753012,358691,1116294,3493351,234295,235896,230181,244311,204300,103742,156855,203279,1063,48211,87408,347440,713150,1039178,1050239,737516,515769,568362,5.8,8085412,3120956,2.57,2.22,4552270,372468,268211,266165,268012,254985,265558,241817,237717,212333,386472,488356,546220,316771,165188,144656,117341,47358.0,11512431,
36,Oklahoma,2010,1644228,809823,118817,447496,1656,29307,66353,115761,193381,265455,348132,212053,191030,103470,148593,1204636,33245,32670,44799,63647,55119,25058,28726,154883,1445,16963,30460,124865,278131,445421,355612,193393,102408,96975,5.3,2482198,1081299,2.56,2.39,1421705,123659,95310,93589,94181,88942,87717,80287,76079,65347,123485,143351,154177,85197,42386,35584,32414,42979.0,3675339,
37,Oregon,2010,1651063,572134,26546,720517,58331,104897,72875,151661,292239,184492,334790,168595,143283,98102,205026,1049589,68012,49699,72619,76225,64507,49844,73043,142671,4854,32078,56101,136195,299248,344722,306258,201264,128730,146467,5.4,2435708,1241333,2.55,2.29,1499267,107189,84558,83732,87473,84312,86073,78560,77887,69836,131572,161140,183783,109532,58396,50480,44744,49260.0,3761925,
38,Pennsylvania,2010,5537308,2533628,179627,940336,1064482,119870,119718,264485,516857,547902,709691,557650,781952,473674,1565379,3149545,1009775,268994,237261,187564,141614,104552,197354,239848,801,72189,109018,396616,704438,938324,1243133,822994,593473,657123,5.9,9108664,3074915,2.6,2.15,4940581,358330,289547,281294,278131,268082,271852,243386,244676,217028,418665,520201,610403,374231,202831,188172,173752,50398.0,12612705,
51,Puerto Rico,2010,1474026,1293,16836,189682,287,228,13738,86239,235966,254219,359713,277014,142124,59167,45846,1000934,193550,49141,39077,57317,48629,24907,57220,3164,87,18867,49611,173090,408635,487579,208279,73234,34252,20479,4.7,2717615,1005408,3.06,2.97,1227039,365814,154268,119963,97112,80028,70356,56499,47455,37684,57912,54176,40946,20095,8850,7723,8158,18791.0,3762322,
39,Rhode Island,2010,460734,199891,8755,33345,160868,5355,7303,16789,31572,49958,54373,49986,56073,33321,161359,254053,15034,53100,61066,23676,16514,11108,21336,4702,145,7659,13932,44132,80031,101970,85290,53828,35631,38261,5.3,678895,333879,2.65,2.17,410305,31507,24211,20859,20638,18351,19817,18004,18851,15256,32595,40778,56712,35798,21372,19356,16200,54902.0,1056389,
