,State,Year,Total Housing Units,House Heating Fuel: Gas,House Heating Fuel: Propane,House Heating Fuel: Electric,House Heating Fuel: Fuel Oil,House Heating Fuel: Wood,Year Built: 2010-2013,Year Built: 2000-2009,Year Built: 1990-1999,Year Built: 1980-1989,Year Built: 1970-1979,Year Built: 1960-1969,Year Built: 1950-1959,Year Built: 1940-1949,Year Built: before 1940,Units in Structure: 1 DETACHED,Units in Structure: 1 ATTACHED,Units in Structure: 2,Units in Structure: 3-4,Units in Structure: 5-9,Units in Structure: 10-19,Units in Structure: 20-49,Units in Structure: 50+,Units in Structure: Mobile Home,"Units in Structure: Boat,RV,Van,Etc.",Number of Rooms: 1,Number of Rooms: 2,Number of Rooms: 3,Number of Rooms: 4,Number of Rooms: 5,Number of Rooms: 6,Number of Rooms: 7,Number of Rooms: 8,Number of Rooms: 9+,Median Number of Rooms,Owner-Occupied,Renter-Occupied,Avg household size of owner-occupied unit,Avg household size of renter-occupied unit,Household Income: Total:,"Household Income: Less than $10,000","Household Income: $10,000 to $14,999","Household Income: $15,000 to $19,999","Household Income: $20,000 to $24,999","Household Income: $25,000 to $29,999","Household Income: $30,000 to $34,999","Household Income: $35,000 to $39,999","Household Income: $40,000 to $44,999","Household Income: $45,000 to $49,999","Household Income: $50,000 to $59,999","Household Income: $60,000 to $74,999","Household Income: $75,000 to $99,999","Household Income: $100,000 to $124,999","Household Income: $125,000 to $149,999","Household Income: $150,000 to $199,999","Household Income: $200,000 or more",Median Household Income,Total Population,Year Built: 2014 or later
30,Arizona,2015,2890664,818264,68070,1433280,1694,48176,41012,744000,595410,528722,504505,210802,166026,47897,48758,1840057,139719,40553,98874,122584,145905,74284,112931,305332,10425,67746,104353,295460,516830,651172,524344,337084,198945,194730,5.2,4047527,2443633,2.67,2.72,2412212,185629,125386,130674,137391,131797,135872,120537,125232,107215,202142,244371,285636,183806,104914,99975,91635,50255.0,6641928,3532.0
31,Arkansas,2015,1335016,456985,82542,542467,1118,48493,29718,234586,245140,214710,250485,142715,95369,52939,67467,929459,21783,40853,42966,44182,45838,15929,22115,170060,1831,21616,21886,86954,231889,349773,274333,161947,92365,94253,5.4,1925567,950309,2.56,2.46,1138025,104645,85977,78308,79037,70859,70216,61971,59437,51258,94357,106582,113603,68160,35415,30720,27480,41371.0,2958208,1887.0
32,California,2015,13845790,8266464,398909,3331397,33150,216849,129453,1646490,1495571,2117819,2503688,1871029,1907512,865607,1298438,8044831,959528,347451,769437,853934,733003,678962,923096,519972,15576,448914,549704,1662018,2675348,2827571,2354485,1509861,917821,900068,5.1,20695882,16908728,3.0,2.91,12717801,742545,646023,595038,611018,561338,573263,526748,525734,476229,920488,1197858,1542550,1146828,755700,886811,1009630,61818.0,38421464,10183.0
33,Colorado,2015,2261063,1438847,96828,422468,2154,41720,36047,432964,382310,336155,428645,208587,181599,64405,186083,1422286,157133,38544,74509,105880,133937,120568,112627,93979,1600,42776,81460,226363,352495,365444,331610,265525,221684,373706,5.7,3400312,1762018,2.61,2.44,2024468,119023,83049,86030,96028,90341,98142,89975,93977,83738,161270,209934,267561,186969,115272,125268,117891,60629.0,5278906,4268.0
36,Connecticut,2015,1491786,454138,47460,210186,595244,29755,10812,103911,115076,193595,199447,200380,230868,105253,331829,882941,80636,121410,132512,82727,55826,50421,73140,11898,275,29332,36768,127513,225743,283609,262466,197972,145441,182942,5.7,2434310,1040743,2.69,2.33,1352583,78177,52344,56078,56122,52008,52407,48860,50637,47344,93751,125656,173741,132904,91917,109075,131562,70331.0,3593222,615.0
34,Delaware,2015,414416,140473,35254,110781,49733,3686,8636,81702,67680,60718,50391,46217,42633,18494,37329,242617,60676,6589,10369,15126,23808,7141,10637,37338,115,3704,3952,24722,50121,71354,80323,64783,50255,65202,6.2,648280,252899,2.65,2.55,344022,19788,13238,15159,15872,15957,16477,15386,15826,14306,28519,36940,46953,31843,19793,20520,17445,60509.0,926454,616.0
35,District of Columbia,2015,303312,156637,2708,103527,5982,27,5318,26797,9045,13889,23793,36328,40117,38557,109089,36367,77175,9714,22103,19912,34019,24723,79088,85,126,20368,21491,66118,57405,37648,32206,22257,17987,27832,4.3,265114,342145,2.35,2.13,273390,27878,11460,10049,10276,8886,9464,8143,9898,8169,16387,21638,29547,24908,17106,22697,36884,70848.0,647484,379.0
37,Florida,2015,9094999,326909,76978,6741401,14033,14586,117898,1868511,1572724,1923496,1658289,870929,670395,200217,201102,4921430,566490,199279,354985,457445,540669,526440,688239,828485,11537,157671,198917,939688,1990876,2153829,1616300,955615,560413,521690,5.1,12443167,6772459,2.61,2.67,7300494,566780,409233,434008,451883,424956,422183,387580,377305,328374,604552,722450,806959,507534,281061,278520,297116,47507.0,19645772,11438.0
38,Georgia,2015,4133065,1440598,180419,1895469,7123,34912,62921,951412,878551,717212,580003,374216,258270,121047,184922,2742156,153418,91607,124540,210166,194905,104787,125747,382992,2747,51289,51486,251294,597265,876445,801239,553958,397536,552553,5.8,6240013,3505175,2.76,2.67,3574362,309272,203138,196729,203990,189444,191684,176305,176083,151180,287912,354485,407295,264418,154213,155790,152424,49620.0,10006693,4511.0
40,Hawaii,2015,527388,9049,5295,136360,103,1590,7971,75430,77087,81988,123940,77044,46179,19477,17737,282278,45653,13317,23442,34103,27381,27678,72475,897,164,24424,43367,76516,106604,109222,71038,42519,25446,28252,4.6,812542,549985,3.17,2.83,450572,25611,15484,15798,16968,16125,16803,16979,17931,17187,34065,49308,64097,50779,30860,34172,28405,69515.0,1406299,535.0
39,Idaho,2015,680302,301220,28338,196183,10090,46775,13305,152969,126882,73443,129808,46275,47464,29171,60114,498562,19796,16224,30634,19744,13387,11661,10170,59140,984,10908,17284,48118,106025,136608,114183,84046,62478,100652,5.7,1103935,482762,2.72,2.63,589320,41274,32270,34210,35627,35093,37063,31396,32671,28268,51802,64825,70636,40080,21204,17682,15219,47583.0,1616547,871.0
41,Illinois,2015,5303675,3785716,194009,724227,9080,23979,39405,602127,577356,470705,764168,630929,690743,335832,1189270,3109289,309909,300835,358179,331348,210515,190688,355659,135942,1311,123125,117348,437121,848329,1074814,956260,643037,472838,630803,5.6,8650467,3922839,2.72,2.44,4786388,343101,217426,238477,238802,219983,229746,212017,211604,186448,369853,481803,609496,420268,256237,272382,278745,57574.0,12873761,3140.0
42,Indiana,2015,2820253,1518342,178561,706000,21808,54783,38936,368627,415079,282133,399211,320633,319963,171384,501557,2046107,104952,73254,101626,129640,108038,58965,55646,141290,735,36612,42217,187708,402506,607593,560874,384119,261560,337064,5.7,4539896,1839996,2.63,2.37,2501937,181044,134385,144148,143227,139796,144382,132230,131493,116715,216377,269243,310646,186356,99130,81975,70790,49255.0,6568645,2730.0
43,Iowa,2015,1354264,774810,163666,251762,8639,20105,22947,160230,147144,97335,200245,143766,143578,77810,359421,998273,51043,32324,45990,50188,53018,46494,25758,50858,318,16834,28832,98348,197607,249752,232466,184911,143163,202351,5.9,2222491,770591,2.51,2.19,1236409,76474,63657,63600,65899,65344,66122,60143,64876,53283,108108,139750,168910,100945,53925,46153,39220,53183.0,3093526,1788.0
44,Kansas,2015,1244372,744981,85447,253955,1371,19883,16098,148702,159156,146517,193098,128538,162909,75195,213181,902618,56638,31408,42248,47228,47124,31435,25103,60087,483,23311,24495,87258,172499,237112,213835,166769,130853,188240,5.9,1952361,861521,2.63,2.32,1113472,71873,55880,57220,60460,61423,60206,56664,56527,50416,96047,118954,140436,91017,50439,44863,41047,52205.0,2892987,978.0
45,Kentucky,2015,1944495,648283,109142,870453,16505,49696,31851,300205,335083,253048,329836,213777,185217,94122,199871,1304748,47275,59580,79314,92104,63986,30896,29076,236488,1028,25050,31589,134445,324645,444432,366614,241752,162428,213540,5.5,2938751,1330024,2.56,2.38,1708499,169393,118615,111258,107104,97350,95848,87572,85836,74297,137313,167512,187643,112769,61179,49845,44965,43740.0,4397353,1485.0
46,Louisiana,2015,1999855,604172,40581,1065008,999,10191,47007,323750,256953,299406,372242,259256,201316,97622,139099,1300345,59479,79595,84257,65390,59673,39812,43448,265428,2428,27332,35415,153741,348789,506509,395730,240479,146366,145494,5.4,3018557,1478347,2.66,2.5,1727919,177658,118936,114567,105117,94858,93013,80587,78503,69667,125217,154956,188830,126367,71409,67770,60464,45047.0,4625253,3204.0
47,Maine,2015,726227,33136,45629,27536,359181,74487,7184,90893,88416,108031,103563,53683,54368,35503,184200,506528,16066,37203,40941,26867,12034,12330,10248,63733,277,19072,26616,68939,127973,146834,127678,85466,55804,67845,5.3,964743,328675,2.45,2.06,553284,38574,35182,32906,31730,31652,31618,26805,26780,24562,46623,58273,70627,40888,21433,18808,16823,49331.0,1329100,386.0
48,Maryland,2015,2410256,964345,70060,866969,212903,30246,34955,296356,346529,377911,347341,285637,285472,137303,296187,1244054,513570,37744,54009,118550,202530,53265,148371,37394,769,29434,40403,180739,312722,354571,412528,335867,272203,471789,6.2,3990133,1799925,2.76,2.5,2166389,110926,71461,72143,77057,75241,81026,74896,81390,74496,157046,213134,289546,229524,164688,194589,199226,74551.0,5930538,2565.0
49,Massachusetts,2015,2827820,1278152,75169,374166,746949,42560,24913,213547,211209,303738,328414,292628,324491,165661,961644,1474897,148269,290860,305406,166495,121415,123088,172834,23935,621,68322,86635,284471,444754,517797,496706,345101,260170,323864,5.5,4280797,2175570,2.7,2.25,2549721,155390,131036,112477,104837,94682,101420,90173,91231,84736,171752,231208,317568,252550,177324,206541,226796,68563.0,6705586,1575.0
50,Michigan,2015,4539838,2954629,321620,332417,50369,130396,29943,467993,589554,449765,697381,550207,695384,365228,691799,3272125,211330,113297,116812,192278,163002,94721,131855,243416,1002,58773,82809,325674,649859,943553,910650,609501,420773,538246,5.7,7081660,2591945,2.6,2.33,3841148,308959,209973,221352,219360,206748,213820,193091,191095,169750,315267,393422,457326,289731,164120,154454,132680,49576.0,9900571,2584.0
51,Minnesota,2015,2373884,1413822,214941,352153,50429,53349,27851,346336,325928,308831,367065,233323,244799,113176,404411,1595621,176793,54524,49827,53340,81849,119511,160278,81301,840,39849,68548,215432,334284,363176,353403,302172,259880,437140,6.0,3949763,1334387,2.59,2.22,2124745,115278,91552,93858,98081,92597,96128,93030,95796,86530,172111,230724,299651,203565,123159,121202,111483,61492.0,5419171,2164.0
0,Mississippi,2015,1289704,335319,134764,604020,1537,16287,25339,234468,231272,195164,241233,155063,96738,47606,61372,895264,15266,29654,38246,59490,30155,12727,13918,193580,1404,16807,20449,79635,206419,341066,266566,163581,95269,99912,5.4,1976481,916549,2.64,2.64,1096593,125220,84452,81465,71848,67345,64507,56773,56194,45248,85315,100916,109937,63375,32706,27664,23628,39665.0,2988081,1449.0
1,Missouri,2015,2729862,1220485,216853,812569,5293,94910,36827,388234,397789,333064,432511,317903,294184,141326,385974,1919184,91786,93112,127965,105471,93400,56853,67226,173130,1735,38963,48157,198939,432411,605534,504996,345714,242947,312201,5.6,4084769,1786165,2.57,2.31,2364688,183869,136992,136028,140118,132724,136105,123696,123129,105015,199672,241259,278977,168941,93608,88357,76198,48173.0,6045448,2050.0
2,Montana,2015,488845,223510,48815,90040,4778,35268,8639,78961,67543,55209,91346,44672,46529,25394,69927,337531,15192,17206,22652,14307,10088,8831,7525,54895,618,13165,16946,42840,86937,96661,74798,53528,41665,62305,5.4,678687,307174,2.47,2.29,409394,29379,25359,24215,26394,23976,23974,22360,20996,17793,34233,43733,48098,29180,15377,12272,12055,47169.0,1014699,625.0
3,Nebraska,2015,809811,455057,56571,203999,3274,10089,13664,100460,91846,77953,132582,92602,81345,39772,178713,587660,31260,16100,20551,32790,39375,29350,23393,29087,245,11851,21259,65591,111624,138232,130223,104984,87999,138048,5.9,1262046,555417,2.59,2.23,736613,44581,37043,37401,40976,38180,39958,36767,36598,33871,64571,80927,96735,62360,32377,28837,25431,52997.0,1869365,874.0
4,Nevada,2015,1192083,622958,27600,335450,6670,14934,20529,365079,317813,186150,163756,72368,36759,13961,13971,707193,54248,15575,73122,103006,67899,34903,68005,66941,1191,32914,39004,129887,220963,259088,213368,134771,80389,81699,5.2,1519232,1242946,2.71,2.72,1016709,66541,48500,51516,56457,55028,57802,51904,52465,48711,87159,111491,127702,78370,45952,41743,35368,51847.0,2798636,1697.0
5,New Hampshire,2015,618950,102617,75118,43065,241284,43623,6391,75108,67638,125677,92534,53408,44459,23580,129690,393192,32386,35539,35788,29078,19268,25903,11607,36077,112,10966,16013,52953,104259,118545,109401,78664,57644,70505,5.6,953501,329666,2.58,2.18,520251,21873,20790,21085,22540,21427,22521,21134,22535,19756,39447,55520,74640,54965,33938,36420,31660,66779.0,1324201,465.0
6,New Jersey,2015,3577942,2372680,61515,379614,336160,14689,33290,347058,330373,420741,461826,491252,558961,286220,645432,1917641,332387,340043,232360,170544,179681,141006,228727,34810,743,90310,76916,367088,550035,602400,575722,446044,371572,497855,5.7,5836504,2881187,2.84,2.54,3189486,175687,120837,130134,129801,121724,125809,114714,115551,105841,216015,288976,399593,323754,223763,276465,320822,72093.0,8904413,2789.0
7,New Mexico,2015,909565,509036,63442,126866,852,51350,12405,149191,160287,154381,164158,93733,90925,37894,45762,587227,34205,16926,32779,25386,23635,15589,20561,151521,1736,23631,21617,70058,158835,222805,183599,110172,60385,58463,5.3,1411079,630012,2.72,2.58,763603,75094,50143,48276,49173,43068,42270,36829,37198,33412,57798,71269,85925,51417,30070,28729,22932,44963.0,2084117,829.0
8,New York,2015,8171725,4122437,251521,769345,1819152,147079,66437,549482,500350,616233,819939,1026351,1225590,696329,2667925,3420777,404467,865145,600687,428012,335366,655201,1263165,195209,3696,321886,301766,1248029,1510527,1367042,1217520,836853,613847,754255,5.0,10796910,8297009,2.77,2.46,7262279,569147,379134,362791,350778,320984,320038,294923,294149,259526,510817,678223,863158,634452,408076,468997,547086,59269.0,19673174,3089.0
9,North Carolina,2015,4417210,927464,288691,2308380,149443,80258,93910,911157,905590,710589,631630,422081,326897,166793,242873,2881460,170100,94432,123325,195336,184231,105533,70131,590636,2026,58409,70237,304954,761074,1038342,827216,543266,357154,456558,5.5,6338925,3252727,2.58,2.47,3775581,302888,235085,226204,225510,220233,221513,196023,192632,171131,307842,367980,426708,259574,145626,140708,135924,46868.0,9845333,5690.0
10,North Dakota,2015,341062,123713,39006,117292,9978,1683,13508,46874,37775,40318,67404,33655,32743,16194,51368,204096,18026,7370,13564,12966,18675,28261,11031,26927,146,5593,10321,32626,58243,59121,46469,37934,33125,57630,5.6,480546,214704,2.5,2.0,299638,18826,14350,12802,15061,14384,15389,14101,14912,12532,22984,32506,41610,27368,15473,13659,13681,57181.0,721640,1223.0
11,Ohio,2015,5140902,3050915,239299,1034920,113025,91037,45414,513529,606139,465073,731422,637730,738799,330406,1068939,3520412,232132,228319,228803,249000,207600,107655,166606,198887,1488,66160,78463,352344,706367,1003807,1030834,736699,524479,641749,5.9,7754951,3510312,2.55,2.27,4585084,372320,257489,264002,263909,246136,254509,230658,226972,197727,377099,470354,550260,345114,193551,179401,155583,49429.0,11575977,3451.0
12,Oklahoma,2015,1689427,775508,101900,533913,1897,28226,37694,241732,198937,252919,329807,204609,182528,97738,140352,1229801,34255,34332,42477,62547,58827,32117,31518,161082,2471,26427,31023,124975,272854,436895,353976,206988,116680,119609,5.4,2509330,1230347,2.61,2.49,1455321,116153,89253,87246,89029,83610,84694,77100,74571,64657,122996,150043,167149,102368,53318,48122,45012,46879.0,3849733,3111.0
13,Oregon,2015,1695183,586929,25559,756315,38572,108049,21302,258907,292304,186039,335971,162768,142175,93465,200200,1080625,74253,49405,73747,75092,61499,53169,83812,139127,4454,39289,59915,145739,300731,353636,296777,198451,132222,168423,5.4,2402510,1449651,2.56,2.44,1533430,112551,81573,86102,84305,82653,81517,76170,76902,65775,124834,160170,192015,119929,68906,61962,58066,51243.0,3939233,2052.0
14,Pennsylvania,2015,5585611,2531483,193724,1070550,899357,145275,48649,469837,528489,540741,705633,571635,772429,450017,1495002,3189849,1028654,256578,231826,185729,140574,113997,210066,226919,1419,98322,97406,405191,690140,910211,1216349,823803,598610,745579,6.0,8929505,3420021,2.6,2.24,4958859,343017,264879,268116,261337,254071,254354,229315,233860,207589,403539,508901,619923,406185,238450,237241,228082,53599.0,12779559,3179.0
27,Puerto Rico,2015,1570637,1024,12324,174970,194,203,8181,204884,251223,256548,349483,266872,140204,55612,37349,1056391,185375,59219,54450,70287,51611,27335,60755,5176,38,30547,53899,162771,397232,555187,228733,76866,41202,24200,4.8,2478025,1066133,2.89,2.76,1244202,360761,147226,129005,100137,80361,71277,57031,47537,38714,60023,57890,44660,21037,10052,10019,8472,19350.0,3583073,281.0
15,Rhode Island,2015,462900,212749,10382,38859,137451,7315,2737,29763,34111,48663,57366,50704,58878,33316,147153,254825,15752,51884,58748,22753,16764,13619,23609,4657,289,10319,13271,45978,79809,98760,88849,52177,35802,37935,5.3,644938,367189,2.61,2.24,410602,32277,22777,20447,20302,18336,18944,17104,17406,15589,29918,39227,52869,36091,23630,24479,21206,56852.0,1053661,209.0
16,South Carolina,2015,2174319,414792,78243,1270574,21367,20391,46098,453697,430789,370543,340067,205932,153248,69956,100471,1359003,63028,47719,61650,100851,78544,53911,45603,362682,1328,28643,27346,129909,362869,518108,427307,285329,183538,211270,5.5,3196444,1443642,2.57,2.53,1815094,160030,116567,112481,113343,106166,103562,95753,91524,79090,148502,180498,204041,123026,67800,60171,52540,45483.0,4777576,3518.0
17,South Dakota,2015,372328,158882,53807,96035,8272,6137,9069,57744,48426,38008,63226,32512,34306,19333,69159,256666,12675,6296,12510,14178,15001,14141,7973,32754,134,5356,9383,30232,60075,65717,55329,47029,39503,59704,5.8,571501,237684,2.54,2.25,330858,20406,18403,16691,18746,18259,18726,17941,16949,16035,28641,36817,45058,25052,12355,10046,10733,50957.0,843190,545.0
18,Tennessee,2015,2854542,823250,105221,1500790,10341,53344,56645,497294,521740,414698,466260,314615,262776,136060,180578,1964749,86356,85056,91613,132149,106731,57922,57306,270463,2197,32801,40832,192483,465955,634845,546606,371962,246441,322617,5.6,4307380,2038192,2.58,2.45,2504556,214261,158757,158314,158693,148755,146706,134230,127532,109327,206546,248182,275150,164446,89851,82552,81254,45219.0,6499615,3876.0
19,Texas,2015,10305607,3370270,302022,5372391,10458,38120,315227,2236167,1603309,1765085,1716406,996761,863257,378961,404596,6729990,276365,198621,333227,499237,651199,363818,475288,761116,16746,185557,300436,1087690,1709507,2224036,1885059,1189834,778352,945136,5.3,16811376,9134080,2.95,2.64,9149196,658087,469798,480097,499771,470105,476663,436072,427713,382519,724264,903827,1075935,748718,447745,463766,484116,53207.0,26538614,25838.0
21,Utah,2015,1011099,766823,20410,101144,1155,10839,26955,226147,184343,131116,175222,73841,75770,37900,77854,695319,60609,32347,44655,33932,46063,31785,28050,37558,781,13582,21451,64666,140086,156552,135380,124070,115893,239419,6.3,2053247,803709,3.26,2.9,906292,44761,34538,35882,41751,40986,42131,41947,42720,40649,81495,109762,135492,85082,47429,43846,37821,60727.0,2903379,1951.0
20,Vermont,2015,325174,42451,39021,11889,114826,43833,3120,35783,37013,52623,50651,29165,20033,10703,85952,216640,12647,19453,20910,15312,5693,6726,5152,22537,104,9147,12065,29122,48925,59008,56669,41847,29719,38672,5.6,442747,158415,2.42,2.12,257167,14122,14499,13571,13007,12395,13251,12068,12223,11553,21708,28153,35822,22165,11810,11388,9432,55176.0,626604,131.0
22,Virginia,2015,3423291,1028424,135921,1622007,171679,82966,61957,547215,550964,574843,561594,378759,316938,163958,263240,2117279,375231,58199,95255,158019,198063,70232,171480,178386,1147,46231,59569,233061,495751,607488,575299,445934,372112,587846,6.0,5405608,2608325,2.67,2.52,3062783,176500,125763,125093,129561,128370,131658,127425,128951,116210,231726,299428,390630,291421,191138,220714,248195,65015.0,8256630,3823.0
23,Washington,2015,2942127,932891,81076,1450451,61754,114359,58128,497664,506693,402038,492002,286537,232610,145706,315777,1864020,108793,76903,108912,138402,149971,126735,159070,203566,5755,72134,110810,275609,475630,525105,483540,364075,265572,369652,5.5,4404499,2439991,2.64,2.44,2668912,162559,110156,113536,121452,114389,126984,117347,119297,109832,213934,282968,358433,248928,156803,161420,150874,61062.0,6985464,4972.0
24,West Virginia,2015,883984,305648,32357,322403,21589,47774,10767,101401,120247,110788,149772,82812,94283,68775,144744,624312,18552,18692,25809,25913,15106,9947,12552,132603,498,15109,12517,48845,137597,197169,180610,123985,79111,89041,5.7,1341349,461155,2.5,2.26,740890,74206,51381,52895,51467,44903,42885,38967,37697,33909,59078,70695,79720,44789,23481,19093,15724,41751.0,1851420,395.0
25,Wisconsin,2015,2641627,1500090,251459,347709,63988,102623,28192,346082,369677,261129,392952,256919,298364,155203,531451,1761206,113940,173234,99724,129236,89625,98348,80713,95128,473,43669,62786,223414,430556,545278,469081,334546,234400,297897,5.5,3942310,1651003,2.55,2.2,2299107,135178,118516,120015,126410,118906,124306,111823,114652,104148,198647,253980,310541,195229,102734,88992,75030,53357.0,5742117,1658.0
26,Wyoming,2015,266630,134843,23182,51322,676,12819,6054,43149,32374,38149,56770,21785,25092,12351,30372,176462,10975,5739,11978,9359,6815,6281,2465,35960,596,4535,7317,20228,41849,54574,42082,31471,25750,38824,5.6,397767,167771,2.54,2.39,226865,10886,10540,10358,11900,10743,11692,10066,10661,10048,18429,24675,32540,23024,13347,10701,7255,58840.0,579679,534.0
52,US,2015,134922477,56830824,5620762,43688302,6533382,2455747,1952714,20065991,18887858,18588376,21282203,14856646,14456015,7089987,17598432,83248385,7944592,5030781,5966697,6447056,6052696,4794019,6843641,8483510,111100,2741421,3406554,12308500,22479632,27669261,24217565,16374568,11351122,14373854,287.3000000000001,204276404,107727154,138.10999999999999,126.57000000000001,118170507,8782243,6308703,6268649,6327661,5932409,6023203,5493958,5475925,4845830,9252938,11692214,14211198,9602214,5785415,6020437,6147510,52601.0,320098094,144255.0
28,Alabama,2016,2209335,522099,119622,1177271,3393,19873,62315,364849,403376,326698,375762,254520,197846,95475,120648,1516685,34980,45517,64252,94416,71511,40086,44339,295722,1827,24559,27262,125099,325328,509489,463367,303544,197445,233242,5.7,3276640,1446183,2.58,2.48,1851061,179345,126347,118846,114040,105954,101692,93118,90043,75980,148141,174333,204249,127870,70558,66462,54083,44758.0,4841164,7846.0
29,Alaska,2016,309171,122265,3508,29626,74327,16021,6597,50975,45102,78813,73841,27424,15009,5585,5076,195920,22430,16275,22185,14782,8492,9318,4975,14417,377,18402,23511,39603,58097,54965,43296,28566,19752,22979,4.8,467037,242057,2.93,2.66,250235,9216,8418,8345,9349,8311,9295,9504,10355,8585,17878,26891,36934,28526,19613,22037,16978,74444.0,736855,749.0
30,Arizona,2016,2913541,817536,68449,1469271,1899,48336,55493,739622,597236,531164,501138,215114,165633,46808,47801,1854883,140152,40174,98311,124310,148312,74632,113425,309197,10145,69753,106975,301327,517857,647181,524405,341214,203711,201118,5.2,4094060,2481755,2.67,2.71,2448919,183573,125264,127003,135185,133260,130764,122877,125810,107768,206026,247629,294491,189025,110715,107864,101665,51340.0,6728577,13532.0
31,Arkansas,2016,1341391,451512,80552,554824,1203,46793,38603,231978,246427,212237,249626,142620,94710,51994,66883,933841,21701,42174,43787,45680,47225,16838,20694,167777,1674,23383,22003,89262,229550,347432,275969,161746,93297,98749,5.4,1919926,965383,2.56,2.46,1141480,101637,82519,76391,77626,69990,69515,61745,59774,52081,95250,109400,115768,70708,37074,31835,30167,42336.0,2968472,6313.0
32,California,2016,13911737,8270980,406443,3384008,32082,213135,168917,1628084,1512927,2127941,2500115,1870994,1908848,859251,1297703,8076586,962527,345952,776724,859625,731910,683637,942759,517173,14844,469277,558514,1658321,2691739,2819759,2362518,1507698,928936,914975,5.1,20736799,17101422,2.99,2.91,12807387,728895,629347,570021,595028,549453,562391,516373,520991,470573,912385,1203377,1552490,1171087,779571,935208,1110197,63783.0,38654206,36957.0
33,Colorado,2016,2284863,1444556,97119,442554,1955,40765,48160,431585,385704,336677,430163,208131,182284,63224,184352,1439674,158914,37007,75893,106113,133378,122029,115667,94677,1511,45290,82908,227434,352445,366905,336299,263232,225648,384702,5.7,3454901,1787251,2.62,2.44,2051616,114990,80302,82773,93281,90734,94758,89353,92951,82952,162904,211250,276255,194355,122056,133864,128838,62520.0,5359295,14583.0
36,Connecticut,2016,1493798,461985,50508,214951,581382,29208,14673,104308,113584,190755,200614,201812,225824,105566,334202,882236,80639,123152,130686,82581,56858,50772,74986,11534,354,29832,38466,129680,228592,281087,261542,196361,144590,183648,5.7,2415715,1055988,2.68,2.32,1354713,75787,50565,54190,55194,50989,51415,50649,50106,46192,91810,126135,172153,134162,95329,111209,138828,71755.0,3588570,2460.0
34,Delaware,2016,417927,143688,36023,113337,47102,3764,11811,81828,68359,60370,50444,44782,42830,19109,35805,244866,62003,6776,9927,15725,23515,7410,10945,36608,152,3869,4194,24015,50396,71648,80693,66805,50374,65933,6.2,652819,256724,2.64,2.54,348051,20271,12613,14548,16118,15936,17062,16024,15665,14757,28118,37108,47615,32000,20337,21249,18630,61017.0,934695,2589.0
35,District of Columbia,2016,306711,154256,2707,109239,5338,16,7479,26335,8955,13853,24891,35776,40091,38269,109162,36352,76963,9742,22761,20446,34134,24719,81451,85,58,20814,23634,65431,58078,37946,31699,22381,18732,27996,4.2,265901,353141,2.36,2.15,276546,28179,12205,10112,9641,9405,9225,7951,9150,7955,15815,21155,29158,25245,17922,24110,39318,72935.0,659009,1900.0
37,Florida,2016,9152815,332079,74485,6823283,12499,13512,161004,1857819,1579485,1917982,1660681,866534,665538,197964,203024,4955093,570048,202095,359258,463137,539887,523750,698095,830351,11101,166186,200333,939232,2010554,2144198,1621461,957391,577035,536425,5.1,12508565,6993450,2.61,2.68,7393262,556637,398394,423592,445928,421568,416468,391972,379530,331287,612464,738333,832126,527915,297921,297029,322098,48900.0,19934451,42784.0
38,Georgia,2016,4156518,1445146,178241,1931285,6558,34024,82236,943936,884269,712364,583015,371871,257665,120550,182937,2755514,153482,92046,125591,211017,195518,105033,130731,384692,2894,53969,53060,249929,595627,871237,802734,554547,402507,572908,5.8,6254066,3584237,2.76,2.66,3611706,298701,198287,192794,201968,186210,188941,176062,174362,152256,290377,359941,420635,275919,160150,167373,167730,51037.0,10099320,17675.0
40,Hawaii,2016,530289,9182,5122,133619,139,1249,10725,74152,77317,80996,122530,78277,46939,19271,18295,284886,45318,12498,23369,34767,27741,27467,73157,956,130,25890,43774,75555,106581,109450,72008,41887,26279,28865,4.6,819213,550483,3.15,2.86,452030,25329,15336,15296,16495,15428,16494,16240,17189,15976,32874,48316,64035,50789,33173,35851,33209,71977.0,1413673,1787.0
39,Idaho,2016,686013,306397,28679,198466,9570,45631,17453,152383,126051,74720,130196,45376,46828,28781,59664,503695,20324,15763,29826,19911,13983,11409,11159,58877,1066,11818,16618,46545,105519,139066,115655,83317,64352,103123,5.7,1116576,488981,2.72,2.64,596107,41835,31467,32300,34792,33414,36311,32118,31306,29108,52829,66619,71986,42322,22849,19555,17296,49174.0,1635483,4561.0
41,Illinois,2016,5310327,3776112,196055,744996,8250,23533,52704,596798,580727,475218,765324,634377,685826,333531,1175883,3118979,307577,299511,351973,337711,210685,189875,358354,134336,1326,128331,118252,437622,846527,1068249,952259,640822,476649,641616,5.6,8596290,3954745,2.71,2.42,4802124,341280,212171,229808,233284,215853,223873,209353,211444,184289,363985,478067,612265,431201,267312,289346,298593,59196.0,12851684,9939.0
42,Indiana,2016,2830669,1516975,178583,721028,20117,54663,51947,363250,417287,284596,400032,319470,316673,169599,498734,2052490,107526,72257,102135,132764,106062,59257,58089,139337,752,38233,42517,188247,403646,601538,558356,386258,263410,348464,5.8,4535780,1864852,2.63,2.37,2513828,176307,128274,139989,140848,139568,140514,132028,132464,115760,215737,272071,316401,193460,104035,89979,76393,50433.0,6589578,9081.0
