,State,Year,Total Housing Units,House Heating Fuel: Gas,House Heating Fuel: Propane,House Heating Fuel: Electric,House Heating Fuel: Fuel Oil,House Heating Fuel: Wood,Year Built: 2010-2013,Year Built: 2000-2009,Year Built: 1990-1999,Year Built: 1980-1989,Year Built: 1970-1979,Year Built: 1960-1969,Year Built: 1950-1959,Year Built: 1940-1949,Year Built: before 1940,Units in Structure: 1 DETACHED,Units in Structure: 1 ATTACHED,Units in Structure: 2,Units in Structure: 3-4,Units in Structure: 5-9,Units in Structure: 10-19,Units in Structure: 20-49,Units in Structure: 50+,Units in Structure: Mobile Home,"Units in Structure: Boat,RV,Van,Etc.",Number of Rooms: 1,Number of Rooms: 2,Number of Rooms: 3,Number of Rooms: 4,Number of Rooms: 5,Number of Rooms: 6,Number of Rooms: 7,Number of Rooms: 8,Number of Rooms: 9+,Median Number of Rooms,Owner-Occupied,Renter-Occupied,Avg household size of owner-occupied unit,Avg household size of renter-occupied unit,Household Income: Total:,"Household Income: Less than $10,000","Household Income: $10,000 to $14,999","Household Income: $15,000 to $19,999","Household Income: $20,000 to $24,999","Household Income: $25,000 to $29,999","Household Income: $30,000 to $34,999","Household Income: $35,000 to $39,999","Household Income: $40,000 to $44,999","Household Income: $45,000 to $49,999","Household Income: $50,000 to $59,999","Household Income: $60,000 to $74,999","Household Income: $75,000 to $99,999","Household Income: $100,000 to $124,999","Household Income: $125,000 to $149,999","Household Income: $150,000 to $199,999","Household Income: $200,000 or more",Median Household Income,Total Population,Year Built: 2014 or later
10,Georgia,2010,4091482,1439275,207419,1781234,9986,33175,383727,572137,854127,720742,607198,384935,263903,120979,183734,2714962,155284,94752,124816,202937,193874,105924,116620,379889,2424,53278,53084,260803,602061,862035,816949,549395,380192,513685,5.8,6289112,3170276,2.73,2.69,3482420,318738,210861,212506,212212,196782,200419,169785,171001,153169,283651,350680,385731,244647,128584,130060,113594,46430.0,9712587,
11,Hawaii,2010,519992,9045,4321,140601,114,1325,30284,38464,75811,78618,122466,83579,50036,19447,21287,281650,38676,16397,24206,32423,24872,29162,71557,1001,48,24170,43019,76954,105864,101071,70455,42591,24595,31273,4.6,812002,508739,3.14,2.72,445812,27586,16950,16396,21443,17494,18607,18685,19943,18634,35510,46546,64328,45295,29912,25426,23057,63030.0,1363621,
12,Idaho,2010,668634,301227,31483,183522,13320,40437,65554,79762,128810,72082,131402,46887,51692,28692,63753,475498,20785,17617,31342,19214,13493,11386,13690,64297,1312,10067,18703,49289,108684,136044,109603,79213,65748,91283,5.6,1102909,439590,2.75,2.51,576709,45201,38641,33073,37541,38639,37671,35374,30104,26989,54220,64365,64661,30697,15912,13297,10324,43490.0,1571450,
13,Illinois,2010,5297077,3817215,201279,663759,10714,22983,250882,364849,557112,454400,757226,614725,708857,362701,1226325,3088708,313903,311786,357096,336841,207942,190747,345844,143291,919,122041,111333,427167,862982,1085305,974409,634539,468085,611216,5.5,8802103,3739290,2.73,2.44,4752857,339702,234469,255667,266349,237907,245988,228181,228518,200682,382011,490761,600787,393139,222094,219026,207576,52972.0,12843166,
14,Indiana,2010,2797172,1527016,179701,659543,29396,53848,138240,228484,399708,280008,395504,327995,324060,169083,534090,2039207,91285,73756,96974,129829,106158,62445,51910,145284,324,30102,37404,189840,404318,623279,564652,383689,248501,315387,5.7,4566532,1737166,2.63,2.37,2470905,188376,146257,158171,163442,154418,154250,141841,137678,114019,216976,256761,287259,156720,82530,60755,51452,44613.0,6490621,
15,Iowa,2010,1337563,787742,166138,220296,9510,19924,70270,87246,140195,102632,195981,143266,151111,81974,364888,986588,48173,33154,45087,51342,48476,44493,24328,55553,369,14279,26912,96808,195587,245030,233402,185468,144035,196042,5.9,2224541,727230,2.51,2.15,1223439,78330,70892,71961,75717,73659,69207,65814,65745,63186,108075,142073,153171,84392,41683,34160,25374,47961.0,3049883,
16,Kansas,2010,1234037,763181,88994,222889,1449,18266,62147,80750,148465,145129,195296,130069,167228,80811,224142,890150,56013,28580,46219,50554,40199,31360,25896,64543,523,21051,20670,93044,175054,242017,219001,162831,127946,172423,5.8,1974259,805836,2.63,2.29,1101658,76680,63936,64267,65189,62736,63887,57330,58804,54510,99156,119905,131904,78870,40604,34592,29288,48257.0,2859169,
17,Kentucky,2010,1928617,655820,111306,835138,20121,49069,113184,170788,343568,257682,325050,225892,179288,92081,221084,1293874,46103,57819,76320,87630,62842,29853,29559,243390,1227,27325,25750,130931,320655,449594,370012,245001,159012,200337,5.5,2955387,1265009,2.56,2.4,1684348,173707,136790,119019,116984,104498,100640,89192,88925,72181,133467,160819,175271,97047,44369,38069,33370,40062.0,4346266,
18,Louisiana,2010,1967947,629224,44519,997933,1019,11616,161403,156777,256042,295119,387881,260478,205041,106018,139188,1281526,60113,77123,86757,71916,53230,35044,40006,260641,1591,23660,40249,158790,340523,489676,400581,240500,143000,130968,5.4,3035841,1380960,2.66,2.52,1689822,165644,127060,118730,111755,91965,93050,85885,82322,74965,127487,160015,184188,110875,60440,50498,44943,42505.0,4544228,
19,Maine,2010,722217,23135,36617,27813,384021,65520,30730,53783,89041,109178,101240,54253,52340,36784,194868,504295,17271,38418,36990,27264,11617,12351,9437,64175,399,17791,23702,71103,124905,149050,126670,90466,56566,61964,5.3,980504,311518,2.47,2.09,545417,38765,38211,32430,35864,32933,30097,30247,29824,23843,44202,64725,64643,34824,18432,15467,10910,45815.0,1327567,
20,Maryland,2010,2380605,947948,63253,832013,240788,26358,114860,176126,330480,380942,359860,299955,280798,151156,286428,1223207,502203,41291,54252,116327,208594,47499,145616,40514,1102,28529,40692,186726,301903,351790,404345,337169,271861,457590,6.2,3918121,1729486,2.75,2.47,2127439,117663,74081,70525,83744,82992,84915,80659,83648,79878,163894,223674,286645,224776,146905,167050,156390,68854.0,5785982,
21,Massachusetts,2010,2808727,1234502,70046,341806,810266,38813,90420,115540,204442,303013,327292,290026,322661,163686,991647,1452631,146537,278610,321983,173652,119593,119746,171905,23744,326,62623,80803,287288,454420,516066,491338,340726,261589,313874,5.5,4219255,2099117,2.69,2.2,2520419,185397,133225,115540,108362,96993,104887,97566,96709,93805,182119,247220,323455,245516,157655,165224,166746,62072.0,6557254,
22,Michigan,2010,4531231,2955744,331330,284011,61775,128481,138664,319145,572594,458374,708069,556083,695361,380416,702525,3244036,205446,128863,117919,189818,169748,91274,134775,248615,737,54205,77281,322047,660111,973385,909722,603687,418743,512050,5.7,7224789,2423717,2.61,2.34,3806621,320953,237074,242198,247002,221621,214722,197700,205889,179553,330253,389520,427891,246823,136138,118836,90448,45413.0,9877574,
23,Minnesota,2010,2348242,1404878,214285,312238,65801,54493,122501,221960,311918,305554,367722,233876,245927,114546,424238,1571436,173782,59019,46769,54286,79080,121278,155755,86560,277,35165,61497,218007,330187,367611,363537,305486,261795,404957,5.9,3953613,1221576,2.59,2.17,2091548,123174,106991,106460,104990,102555,107713,98838,104817,86493,177726,234959,289660,180370,97635,93242,75925,55459.0,5310584,
24,Mississippi,2010,1276441,347171,146694,564029,1863,17256,102758,130329,228619,203384,238987,162308,100898,48135,61023,881568,15153,31682,37763,59295,24730,12707,12235,199249,2059,13444,20312,79668,213264,337868,267301,162460,88657,93467,5.4,2013606,864466,2.67,2.65,1079999,123082,95296,83142,82134,64372,65853,58953,57348,45011,81648,98300,106652,55251,24366,20460,18131,36851.0,2970036,
25,Missouri,2010,2714017,1235745,236581,765714,6187,92774,166425,219817,393878,343371,428833,317695,298568,146579,398851,1891143,97957,94554,121033,100578,95242,55203,67974,188481,1852,37855,45150,191856,441290,603830,519981,336427,243221,294407,5.6,4149521,1672568,2.56,2.29,2350628,198773,153514,147995,153258,139639,137774,131089,128382,104239,192667,244704,260738,152482,82801,63833,58740,44301.0,5996231,
26,Montana,2010,483006,224327,51997,79763,6655,34549,32139,43741,69772,54301,90826,39402,46709,28755,77361,334828,14406,17044,21957,13547,11639,9610,5816,53655,504,12382,15163,43155,84719,98985,78966,54172,37795,57669,5.4,689657,272392,2.46,2.23,402747,27753,28179,27354,28847,24746,27662,23051,22404,18920,34589,39731,47058,24491,11404,9312,7246,42666.0,990898,
27,Nebraska,2010,797677,455836,55346,181557,5469,11297,41196,55426,85222,73856,137185,98927,79967,40094,185804,581824,31165,15713,22936,31023,35246,25454,23485,30557,274,8558,21480,63937,114868,130020,132653,110853,90943,124365,6.0,1260515,518749,2.6,2.21,719304,44781,46499,38875,45603,40956,44454,36572,37736,33707,66482,78943,91778,49853,26181,20312,16572,48408.0,1830429,
28,Nevada,2010,1175070,638719,31061,288359,8664,15273,139171,222757,310211,199714,172822,68015,36733,12020,13627,688294,58223,16397,72242,106538,72849,31564,53113,74222,1628,29761,30611,114783,216962,252566,240657,131057,84210,74463,5.3,1529941,1138547,2.7,2.69,989811,69255,46091,50823,60476,53498,58719,49391,52845,42995,82435,113402,126353,75364,42198,35985,29981,51001.0,2704642,
29,New Hampshire,2010,614996,100857,70863,41909,253772,40272,24976,44037,61943,127349,92836,54847,47319,25217,136472,389597,31087,37710,35873,30252,17650,25449,10281,36971,126,9243,14469,53453,109953,116566,108730,80004,54741,67837,5.5,952789,323866,2.58,2.22,515431,24462,20650,22135,23201,24028,23275,22714,25700,24543,41906,57714,73652,49010,30702,28732,23007,61042.0,1316759,
30,New Jersey,2010,3554909,2344455,63241,343112,392540,11886,130934,206562,315958,406337,466371,497442,559940,321057,650308,1909293,333174,343395,221841,172256,178408,137522,224167,33388,1465,119894,73974,364934,522388,579984,578787,445364,380091,489493,5.7,5960550,2654198,2.83,2.49,3172421,174342,130977,134359,136250,129918,126155,115802,122617,114733,231699,309831,414452,318420,208434,246604,257828,67681.0,8801624,
31,New Mexico,2010,902242,520740,74284,110797,1008,50925,58057,86471,167510,154797,161575,85344,97168,38923,52397,582888,31764,18774,37004,23969,22933,16335,18451,148815,1309,25951,19297,70050,160761,215148,181752,115434,60870,52979,5.3,1401840,621463,2.7,2.53,765183,74028,50851,52893,52098,45257,47940,39259,40845,32993,60166,72155,80819,45863,29073,23620,17323,42090.0,2065932,
32,New York,2010,8108211,3961085,227607,676262,2068004,143242,228908,314330,487826,591547,820577,1019315,1242251,715956,2687501,3399808,390965,869382,613621,442856,338849,631172,1220364,197377,3817,290865,288943,1237142,1506731,1357477,1240999,832576,618144,735334,5.0,10771541,8035064,2.76,2.44,7196427,590397,386574,374001,384222,338163,337888,315625,320055,283280,545750,685961,848756,603367,363445,395091,423852,54148.0,19392283,
33,North Carolina,2010,4333479,915058,330382,2133012,196475,77417,380577,519063,891696,728147,639778,421416,331009,172402,249391,2818382,162669,95695,114322,191495,178883,102577,60765,606801,1890,44917,61230,306450,773963,1024445,823560,530286,351877,416751,5.5,6352670,2951642,2.58,2.45,3670859,329158,253856,223616,238978,218817,225747,199651,199888,174663,304659,370330,396069,218660,113385,105589,97793,43326.0,9561558,
34,North Dakota,2010,318099,112756,41337,104750,12532,1632,20359,19663,34115,39549,68775,34331,31469,17168,52670,193073,18561,7369,11394,14082,17200,22115,9223,25082,0,4813,9557,28358,55618,55343,44840,35792,31133,52645,5.6,465989,183454,2.48,1.98,280412,21561,17023,14622,17323,14757,17060,14519,14241,12082,23370,32260,37583,21510,9348,7051,6102,48670.0,674499,
35,Ohio,2010,5128113,3078580,245719,927014,130937,93479,176131,327067,615885,474571,727213,633380,742500,351322,1080044,3504965,236798,227245,231361,241606,214661,106101,157850,206304,1222,67845,71977,333443,717985,1013077,1042162,745116,528383,608125,5.8,7915172,3314744,2.56,2.32,4525066,385912,279435,287532,288617,256716,273931,250270,236047,205719,379186,470365,520458,294818,156685,130732,108643,45090.0,11536182,
36,Oklahoma,2010,1666205,799757,110248,476597,1512,28411,105199,121274,190172,265831,335274,212182,189177,99416,147680,1220853,32792,33835,45180,62880,53874,26680,29226,158997,1888,19854,27498,130788,274576,436678,354038,195780,116462,110531,5.4,2518125,1131560,2.59,2.45,1432959,122997,101017,92139,99249,89768,89006,83822,78170,65614,127014,145303,148974,83610,39553,35853,30870,42072.0,3761702,
37,Oregon,2010,1676476,575902,23995,735319,50177,105601,110608,153936,290837,185730,334557,165450,143455,96232,195671,1066422,75152,48107,73263,75766,62151,52060,79121,139463,4971,36830,54200,144867,293281,334907,307175,211966,129823,163427,5.4,2420406,1331909,2.57,2.36,1507137,118189,90857,86208,94833,91315,85939,79843,81030,73156,126162,158410,173023,104585,55924,47234,40429,46560.0,3838957,
38,Pennsylvania,2010,5568820,2530446,177562,997925,993832,126074,190108,277750,515380,544996,703812,556928,773711,471075,1535060,3161350,1013030,265527,230206,188033,153046,106780,213563,236621,664,95241,100990,384705,702197,923209,1222024,828719,599192,712543,6.0,9034536,3248981,2.61,2.2,4936030,374479,298360,282685,296314,270945,276768,243548,236767,215383,415753,513313,590446,366978,196892,189901,167498,49288.0,12709630,
51,Puerto Rico,2010,1637216,1083,15001,192263,167,387,44874,124523,268100,287430,374768,288129,148514,56961,43917,1106163,209448,57169,48995,61898,57101,28697,64536,3115,94,25354,55584,180793,456185,539467,227672,82253,44554,25354,4.7,2605631,1078547,2.8,2.77,1319448,385159,166730,134600,108352,82514,75445,64022,51839,40639,61212,59625,40941,22016,9466,8056,8832,18862.0,3722133,
39,Rhode Island,2010,463416,197703,7793,35706,151847,7084,11291,18259,31163,45960,54128,47607,58969,31411,164628,252187,13807,54673,60606,26224,18839,10730,22621,3658,71,10345,14715,45904,86219,96210,81907,54360,34450,39306,5.3,655366,354857,2.68,2.25,402295,34057,23290,22001,22094,18331,20601,18069,18665,14129,33016,40437,51647,31636,19585,19132,15605,52254.0,1052886,
40,South Carolina,2010,2140337,414416,83848,1207780,30874,17808,203482,254330,449492,355845,341579,202886,159017,69226,104480,1308185,58145,49761,64438,103306,77788,54212,45905,376563,2034,37721,24689,130562,374579,500199,431340,273894,174623,192730,5.5,3101315,1395843,2.56,2.53,1761393,169979,123016,121152,124184,100404,108214,91386,93206,82004,142741,177686,188967,104293,52095,44342,37724,42018.0,4636312,
41,South Dakota,2010,364031,155638,53407,85447,9105,7259,24999,31114,49354,37925,62546,33203,33108,20330,71452,248548,12759,7966,12616,12478,13849,14784,8371,32647,13,5766,10101,29519,60887,64217,53427,43338,38804,57972,5.7,561863,220550,2.59,2.16,318955,25155,19928,17607,19362,18981,22667,17095,15869,14807,28067,35285,39233,21997,9118,6587,7197,45904.0,816463,
42,Tennessee,2010,2815087,826781,112833,1427914,15335,49790,206633,276481,520350,426073,483958,318149,256145,130164,197134,1923801,90472,85236,84521,127089,101337,63064,58812,278670,2085,28498,36592,188185,461494,636829,560230,359116,244426,299717,5.6,4291927,1911498,2.58,2.46,2440663,230207,179881,166184,159732,153161,150358,135307,132224,110839,199007,244171,247578,141553,67597,60928,61936,41461.0,6356897,
43,Texas,2010,9996209,3315579,326201,4989013,10062,41677,1015253,1185493,1552601,1787070,1743117,1001774,882610,388794,439497,6511316,264515,209593,308313,487596,650180,351636,437362,758960,16738,163068,264696,1060352,1703411,2196529,1872083,1137783,746321,851966,5.3,16296534,8379441,2.93,2.63,8738664,680357,518071,503932,524229,477164,499617,446830,431938,379682,711006,878395,999301,645043,358397,352139,332563,48615.0,25257114,
44,Utah,2010,981821,751818,21259,89581,1919,10793,102305,124325,184470,132860,173267,72185,72588,39667,80154,669378,60255,33980,43006,36977,43117,35549,21410,37119,1030,14832,20972,63107,139404,152934,136883,122375,115124,216190,6.2,1977729,752588,3.22,2.84,880025,46234,38578,42528,47625,41415,46343,44186,46323,43503,87184,107072,120799,75311,39197,28720,25007,54744.0,2776469,
45,Vermont,2010,322698,41357,35529,13667,122832,38777,10675,22502,34190,54109,52694,28258,20927,10545,88798,212758,12223,19157,21323,17433,5638,7114,4619,22355,78,6740,11389,29213,49748,64430,50983,38951,31789,39455,5.5,448956,151675,2.48,1.99,256922,18357,15868,13932,16117,13183,14714,12721,13707,11083,21328,29677,32931,17638,9666,8898,7102,49406.0,625960,
46,Virginia,2010,3368674,1027967,138687,1514678,208176,83925,220206,307646,537784,583990,563577,391075,325728,170814,267854,2101410,348024,54276,87895,165611,191219,67027,162485,189937,790,46403,60384,238141,491248,602801,559782,437959,374298,557658,5.9,5372412,2412371,2.65,2.49,2992732,178033,131303,133038,140356,130604,141580,136011,137122,122559,227490,305062,376770,273307,175501,194200,189796,60674.0,8024617,
47,Washington,2010,2888594,924131,84272,1384990,73380,115190,218449,269953,501981,406066,515684,283241,226859,149009,317352,1836125,103031,73162,108724,142348,149996,119520,146299,204145,5244,67231,112295,274945,473982,519252,471513,353771,264258,351347,5.5,4329618,2275503,2.63,2.37,2606863,170751,117568,124834,135129,121007,138207,126528,124688,110956,215882,292668,351147,226742,128777,123679,98300,55631.0,6744496,
48,West Virginia,2010,882213,317757,35512,302804,28559,46066,36425,55123,118463,117907,155102,84128,99583,71910,143572,619518,16084,19105,22703,26029,14776,8085,14067,141658,188,10748,13040,51846,140482,196229,184296,114741,80798,90033,5.7,1385291,419300,2.5,2.22,741940,76841,60109,58566,55439,48389,45520,38483,40271,35375,58359,71249,75342,36907,18786,11837,10467,38218.0,1853973,
49,Wisconsin,2010,2625477,1488259,250022,320964,81908,106608,127988,217826,364456,258722,386054,259552,289954,153183,567742,1739691,115096,181915,97020,125682,83556,100653,83514,97906,444,43878,57639,222256,444656,545897,461139,329087,234305,286620,5.5,4005248,1535585,2.56,2.15,2279532,143642,131222,128374,146667,127347,134065,120182,118589,108267,204339,252613,292914,166568,84695,66454,53594,49001.0,5691047,
50,Wyoming,2010,262286,142370,22173,42659,922,11071,20258,18402,30892,39119,59782,21776,25564,14430,32063,173956,10150,7507,11215,9415,6536,5720,2462,35159,166,4095,7876,18244,46262,52273,40015,32754,26710,34057,5.6,386115,164633,2.49,2.44,222803,13398,12528,10867,11683,10968,11591,10546,10881,9719,21138,25601,30512,21421,7842,8436,5672,53512.0,564460,
52,US,2010,133428281,56692156,5794070,40771361,7389766,2383124,8052507,11674087,18570221,18695854,21480427,14980256,14577340,7361371,18036218,82071868,7871377,5106416,5896799,6400278,5987911,4769154,6574315,8639843,110320,2619529,3200760,12182188,22531723,27486802,24274687,16286159,11257246,13589187,286.2,204566603,100479941,137.89000000000004,125.32999999999998,115886867,9142349,6835595,6590013,6818319,6168575,6312706,5757973,5703502,5007410,9337500,11724196,13567441,8672896,4903425,4818054,4526913,48332.5,313071822,
0,Alabama,2011,2182199,550050,140803,1122217,3873,21202,191880,203565,395218,327310,376643,258832,194083,104646,130022,1493947,36884,48337,64879,89971,68098,38934,36202,302270,2677,26732,21304,129034,339158,509374,465309,290915,192109,208264,5.6,3317151,1369755,2.57,2.47,1844546,190357,138695,126092,128817,113174,102532,92020,93174,81617,143016,172984,193457,117395,56992,50765,43459,41415.0,4802740,
1,Alaska,2011,311182,122456,3562,30948,81900,15790,26485,31492,41456,76802,77054,29839,17808,5420,4826,194894,21802,15398,23445,14722,10681,8313,4937,16666,324,19091,22348,42926,60296,58387,41132,28307,17483,21212,4.7,452322,244043,2.79,2.57,257330,10654,9834,8639,9867,10073,10721,10482,12509,9313,20407,30905,39608,27606,16897,19164,10651,67825.0,722718,
2,Arizona,2011,2864360,811728,71170,1391980,860,45923,302735,447148,574670,539093,530422,201900,165710,52011,50671,1808892,148279,41684,101262,122769,136954,72743,121934,298991,10852,69155,103493,277838,514043,655911,551168,321754,192911,178087,5.2,4012878,2325701,2.67,2.72,2356055,199310,133717,138447,150227,134418,134685,124008,126216,104087,196212,237864,263676,163794,93047,84334,72013,46709.0,6482505,
3,Arkansas,2011,1324471,464547,86611,519261,1074,51152,115423,127948,242216,213361,253150,143209,100865,56133,72166,916585,22975,40510,41819,39354,44859,14755,24877,176042,2695,22153,23477,85964,243797,346210,266721,160607,89461,86081,5.3,1939059,919987,2.58,2.44,1127621,117175,93398,84017,82100,71512,67320,61324,58755,51438,91553,100822,109274,60565,31387,26723,20258,38758.0,2937979,
4,California,2011,13721187,8259792,381065,3180216,35746,216924,771752,946099,1455969,2092559,2495904,1889742,1900899,881410,1286853,7955970,957678,349851,749821,843623,731031,682237,911039,523207,16730,439275,525524,1668785,2643042,2828237,2339450,1507458,906525,862891,5.1,20528723,16342795,3.0,2.91,12468743,782975,679109,641871,660842,575820,595505,539446,546398,502188,914099,1198278,1488173,1102795,665286,771568,804390,57287.0,37691912,
5,Colorado,2011,2224661,1436516,95799,378790,2606,42179,172482,280281,378221,325505,425580,211453,173201,63494,194444,1394331,151319,43010,71773,110769,133145,122427,108124,87958,1805,39053,81194,226502,356896,363322,319842,267281,218088,352483,5.6,3303536,1697791,2.6,2.41,1975388,134112,92225,95517,102838,87282,102590,94945,96483,84353,165199,205166,245102,169540,98781,107969,93286,55387.0,5116796,
6,Connecticut,2011,1494042,437840,43778,207267,625164,25707,49765,58405,115712,198976,196123,200232,237772,105917,331140,884297,78814,119115,135510,83319,56688,50405,72238,13339,317,30171,32715,126250,232689,280444,269327,202730,144364,175352,5.7,2444330,1018223,2.68,2.31,1351643,82288,59299,62268,57206,53054,56771,47454,58574,48238,96715,128330,179185,127846,82854,99410,112151,65753.0,3580709,
7,Delaware,2011,409779,134125,34745,104516,52969,3170,40042,49227,62567,56576,49379,50267,42930,18111,40680,238955,62295,6425,11235,13937,22549,6805,11080,36388,110,3417,2649,24587,51892,70053,79505,62765,51828,63083,6.2,637565,245157,2.67,2.59,333192,18800,14752,15994,14597,15471,15417,14769,16728,15186,27661,34812,46551,32519,17894,16654,15387,58814.0,907135,
8,District of Columbia,2011,298908,161752,2126,94987,6753,80,14873,11514,9700,13463,20659,37734,40775,43545,106645,36515,78060,8195,20714,17252,35031,26199,76515,134,293,21051,19389,66925,58073,37055,32438,21559,14475,27943,4.2,256792,321148,2.32,2.03,268670,29641,11462,9328,11712,8510,9057,9746,11409,8108,18168,23404,29481,25792,14631,17878,30343,63124.0,617996,
9,Florida,2011,9027271,312612,80366,6587042,16716,17014,707737,1199649,1572082,1909498,1659563,885909,687517,207749,197567,4886782,568580,197999,341070,446601,540521,541447,668683,823009,12579,154236,202160,935057,1946743,2181166,1630173,966945,527691,483100,5.1,12391507,6244329,2.61,2.64,7106283,593446,447984,455142,473543,445014,423304,390297,368462,317265,588346,695503,746683,449410,240529,235660,235695,44299.0,19057542,
