,state,fips code,county,sector,pollutant desc,pollutant type(s),total emissions,emissions uom
928234,AR,5007,Benton,Commercial Cooking,Carbon Monoxide,CAP,21.496404000000002,TON
928465,AR,5005,Baxter,Fuel Comb - Residential - Wood,Carbon Monoxide,CAP,990.1712832000001,TON
930936,AR,5109,Pike,Fuel Comb - Comm/Institutional - Oil,Nitrogen Oxides,CAP,0.0008017553999999999,TON
931402,AR,5105,Perry,Fuel Comb - Residential - Wood,Ammonia,CAP,1.8417687513999998,TON
932247,AR,5103,Ouachita,Fuel Comb - Comm/Institutional - Oil,Ammonia,CAP,9.167753e-05,TON
933522,AR,5023,Cleburne,Fuel Comb - Residential - Other,PM2.5 Primary (Filt + Cond),CAP,0.01894284,TON
936282,AR,5019,Clark,Fuel Comb - Comm/Institutional - Natural Gas,Nitrogen Oxides,CAP,16.00157,TON
936287,AR,5139,Union,Fuel Comb - Comm/Institutional - Oil,PM2.5 Primary (Filt + Cond),CAP,0.0061287821,TON
936398,AR,5101,Newton,Fuel Comb - Comm/Institutional - Oil,Sulfur Dioxide,CAP,0.0,TON
936539,AR,5127,Scott,Fuel Comb - Comm/Institutional - Coal,Ammonia,CAP,0.0,TON
937076,AR,5103,Ouachita,Fuel Comb - Comm/Institutional - Coal,Volatile Organic Compounds,CAP,0.0,TON
938791,AR,5011,Bradley,Commercial Cooking,PM2.5 Primary (Filt + Cond),CAP,2.70213372,TON
939211,AR,5117,Prairie,Fuel Comb - Residential - Oil,Volatile Organic Compounds,CAP,0.0,TON
939671,AR,5097,Montgomery,Fuel Comb - Comm/Institutional - Oil,Ammonia,CAP,1.394729e-05,TON
939976,AR,5019,Clark,Fuel Comb - Comm/Institutional - Oil,PM2.5 Primary (Filt + Cond),CAP,0.0003018994,TON
940378,AR,5089,Marion,Fuel Comb - Comm/Institutional - Coal,Carbon Monoxide,CAP,0.0,TON
940663,AR,5127,Scott,Commercial Cooking,PM10 Primary (Filt + Cond),CAP,1.4428381000000001,TON
940681,AR,5019,Clark,Fuel Comb - Residential - Oil,Carbon Monoxide,CAP,0.0,TON
941847,AR,5005,Baxter,Fuel Comb - Comm/Institutional - Coal,Volatile Organic Compounds,CAP,0.0,TON
942129,AR,5141,Van Buren,Fuel Comb - Comm/Institutional - Other,Nitrogen Oxides,CAP,0.2041067,TON
942579,AR,5025,Cleveland,Fuel Comb - Comm/Institutional - Other,PM2.5 Primary (Filt + Cond),CAP,8.154189999999999e-05,TON
943528,AR,5059,Hot Spring,Fuel Comb - Comm/Institutional - Natural Gas,Nitrogen Oxides,CAP,11.810130000000001,TON
943554,AR,5061,Howard,Fuel Comb - Comm/Institutional - Natural Gas,Ammonia,CAP,0.0333359,TON
944533,AR,5049,Fulton,Fuel Comb - Comm/Institutional - Other,Carbon Monoxide,CAP,0.05279466,TON
945455,AR,5003,Ashley,Fuel Comb - Comm/Institutional - Other,PM2.5 Primary (Filt + Cond),CAP,0.0006713387,TON
