,state,fips code,county,sector,pollutant desc,pollutant type(s),total emissions,emissions uom
1148994,NY,36073,Orleans,Fuel Comb - Residential - Other,PM2.5 Primary (Filt + Cond),CAP,0.555401,TON
1149358,NY,36089,St. Lawrence,Commercial Cooking,Volatile Organic Compounds,CAP,4.62634299,TON
1149394,NY,36043,Herkimer,Fuel Comb - Comm/Institutional - Coal,Carbon Monoxide,CAP,0.0,TON
1149607,NY,36013,Chautauqua,Fuel Comb - Comm/Institutional - Coal,Sulfur Dioxide,CAP,0.0,TON
1150290,NY,36071,Orange,Fuel Comb - Comm/Institutional - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,1.6303703,TON
1150838,NY,36077,Otsego,Fuel Comb - Comm/Institutional - Oil,Carbon Monoxide,CAP,0.089660079,TON
1151877,NY,36051,Livingston,Fuel Comb - Comm/Institutional - Other,Nitrogen Oxides,CAP,0.8081722,TON
1153563,NY,36105,Sullivan,Fuel Comb - Residential - Oil,Sulfur Dioxide,CAP,0.56724978,TON
1158064,NY,36047,Kings,Fuel Comb - Comm/Institutional - Biomass,Ammonia,CAP,0.524672,TON
1158321,NY,36053,Madison,Fuel Comb - Comm/Institutional - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.12191960000000002,TON
1158829,NY,36017,Chenango,Fuel Comb - Comm/Institutional - Coal,Nitrogen Oxides,CAP,0.0,TON
1158830,NY,36017,Chenango,Fuel Comb - Comm/Institutional - Coal,PM10 Primary (Filt + Cond),CAP,0.0,TON
1159360,NY,36061,New York,Fuel Comb - Comm/Institutional - Coal,Ammonia,CAP,0.0,TON
1159496,NY,36021,Columbia,Fuel Comb - Comm/Institutional - Coal,Volatile Organic Compounds,CAP,0.0,TON
1163581,NY,36115,Washington,Fuel Comb - Comm/Institutional - Oil,Sulfur Dioxide,CAP,1.1921430116,TON
1164178,NY,36103,Suffolk,Fuel Comb - Residential - Oil,Nitrogen Oxides,CAP,883.211385,TON
1164268,NY,36027,Dutchess,Fuel Comb - Comm/Institutional - Coal,Sulfur Dioxide,CAP,0.0,TON
1164933,NY,36013,Chautauqua,Fuel Comb - Comm/Institutional - Oil,Sulfur Dioxide,CAP,5.553452535800001,TON
1167182,NY,36077,Otsego,Fuel Comb - Comm/Institutional - Biomass,Volatile Organic Compounds,CAP,0.05809529,TON
1169458,NY,36007,Broome,Fuel Comb - Comm/Institutional - Oil,Nitrogen Oxides,CAP,2.8176528999999997,TON
1170058,NY,36083,Rensselaer,Fuel Comb - Residential - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,12.566965,TON
1170238,NY,36003,Allegany,Fuel Comb - Comm/Institutional - Natural Gas,PM10 Primary (Filt + Cond),CAP,3.99449435,TON
1170281,NY,36039,Greene,Fuel Comb - Comm/Institutional - Biomass,Volatile Organic Compounds,CAP,0.02931337,TON
1171448,NY,36075,Oswego,Fuel Comb - Residential - Natural Gas,Sulfur Dioxide,CAP,0.671139,TON
1172086,NY,36011,Cayuga,Fuel Comb - Comm/Institutional - Biomass,Carbon Monoxide,CAP,1.7955299999999998,TON
1172373,NY,36027,Dutchess,Fuel Comb - Comm/Institutional - Biomass,Nitrogen Oxides,CAP,3.533439,TON
1173227,NY,36111,Ulster,Fuel Comb - Residential - Oil,Sulfur Dioxide,CAP,1.34109309,TON
