,state,fips code,county,sector,pollutant desc,pollutant type(s),total emissions,emissions uom
3807750,CA,6059,Orange,Fuel Comb - Residential - Oil,PM10 Primary (Filt + Cond),CAP,0.26485789,TON
3812404,CA,6013,Contra Costa,Fuel Comb - Comm/Institutional - Coal,Nitrogen Oxides,CAP,0.0,TON
3812684,CA,6015,Del Norte,Fuel Comb - Residential - Other,PM10 Primary (Filt + Cond),CAP,0.09490312,TON
3815251,CA,6021,Glenn,Fuel Comb - Residential - Oil,PM10 Primary (Filt + Cond),CAP,0.0512059,TON
3815644,CA,6059,Orange,Fuel Comb - Residential - Wood,PM2.5 Primary (Filt + Cond),CAP,295.04329029205,TON
3817069,CA,6067,Sacramento,Fuel Comb - Comm/Institutional - Coal,PM10 Primary (Filt + Cond),CAP,0.0077,TON
3818654,CA,6015,Del Norte,Fuel Comb - Comm/Institutional - Other,Carbon Monoxide,CAP,0.0,TON
3820853,CA,6061,Placer,Fuel Comb - Residential - Other,Sulfur Dioxide,CAP,0.0,TON
3821227,CA,6097,Sonoma,Fuel Comb - Residential - Natural Gas,PM10 Primary (Filt + Cond),CAP,29.999090000000002,TON
3821382,CA,6019,Fresno,Fuel Comb - Comm/Institutional - Other,Nitrogen Oxides,CAP,5.46966158,TON
3821904,CA,6029,Kern,Fuel Comb - Comm/Institutional - Other,PM2.5 Primary (Filt + Cond),CAP,0.45989289186099996,TON
3822062,CA,6055,Napa,Fuel Comb - Residential - Other,Sulfur Dioxide,CAP,0.2629997,TON
3822203,CA,6109,Tuolumne,Fuel Comb - Comm/Institutional - Oil,Volatile Organic Compounds,CAP,0.6819649999999999,TON
3824626,CA,6099,Stanislaus,Fuel Comb - Comm/Institutional - Other,Nitrogen Oxides,CAP,2.24738126,TON
3825078,CA,6115,Yuba,Fuel Comb - Comm/Institutional - Oil,Volatile Organic Compounds,CAP,4.610305728,TON
3825097,CA,6073,San Diego,Fuel Comb - Comm/Institutional - Other,PM2.5 Primary (Filt + Cond),CAP,48.2897694,TON
3826006,CA,6075,San Francisco,Fuel Comb - Residential - Other,PM2.5 Primary (Filt + Cond),CAP,0.37999959999999994,TON
3826985,CA,6083,Santa Barbara,Commercial Cooking,PM2.5 Primary (Filt + Cond),CAP,80.19193,TON
3827261,CA,6097,Sonoma,Fuel Comb - Residential - Other,Sulfur Dioxide,CAP,0.6819993000000001,TON
3827496,CA,6089,Shasta,Fuel Comb - Residential - Wood,Ammonia,CAP,27.182582242,TON
3829540,CA,6015,Del Norte,Fuel Comb - Comm/Institutional - Natural Gas,PM10 Primary (Filt + Cond),CAP,0.0,TON
3830247,CA,6105,Trinity,Fuel Comb - Comm/Institutional - Coal,Sulfur Dioxide,CAP,0.0,TON
3834305,CA,6107,Tulare,Fuel Comb - Residential - Other,Nitrogen Oxides,CAP,34.20169,TON
3837779,CA,6031,Kings,Fuel Comb - Comm/Institutional - Coal,Sulfur Dioxide,CAP,0.0,TON
3838615,CA,6067,Sacramento,Fuel Comb - Residential - Other,PM2.5 Primary (Filt + Cond),CAP,0.4807734,TON
3838622,CA,6037,Los Angeles,Fuel Comb - Residential - Oil,PM10 Primary (Filt + Cond),CAP,2.889589,TON
3838885,CA,6073,San Diego,Fuel Comb - Residential - Other,Carbon Monoxide,CAP,15.55855,TON
3838951,CA,6087,Santa Cruz,Fuel Comb - Residential - Other,PM10 Primary (Filt + Cond),CAP,0.6340154,TON
