,state,fips code,county,sector,pollutant desc,pollutant type(s),total emissions,emissions uom
206054,MT,30011,Carter,Fuel Comb - Residential - Other,PM10 Primary (Filt + Cond),CAP,0.01200676,TON
206633,MT,30055,McCone,Fuel Comb - Residential - Other,PM2.5 Primary (Filt + Cond),CAP,0.007775548,TON
206875,MT,30093,Silver Bow,Fuel Comb - Comm/Institutional - Biomass,Sulfur Dioxide,CAP,0.0706897,TON
208414,MT,30099,Teton,Fuel Comb - Residential - Other,Sulfur Dioxide,CAP,0.02526808,TON
209493,MT,30101,Toole,Fuel Comb - Comm/Institutional - Oil,Sulfur Dioxide,CAP,0.006483621,TON
211131,MT,30109,Wibaux,Fuel Comb - Residential - Natural Gas,Nitrogen Oxides,CAP,0.8301661,TON
211589,MT,30033,Garfield,Fuel Comb - Comm/Institutional - Oil,Volatile Organic Compounds,CAP,0.00011654273000000001,TON
212626,MT,30025,Fallon,Fuel Comb - Residential - Wood,Sulfur Dioxide,CAP,0.2024528263,TON
214920,MT,30023,Deer Lodge,Commercial Cooking,Volatile Organic Compounds,CAP,0.670453153,TON
215256,MT,30059,Meagher,Fuel Comb - Comm/Institutional - Biomass,Volatile Organic Compounds,CAP,0.001239455,TON
216320,MT,30077,Powell,Fuel Comb - Residential - Other,Carbon Monoxide,CAP,0.9308677,TON
216906,MT,30037,Golden Valley,Fuel Comb - Residential - Wood,PM10 Primary (Filt + Cond),CAP,2.4441269376,TON
218593,MT,30075,Powder River,Fuel Comb - Residential - Wood,PM2.5 Primary (Filt + Cond),CAP,5.228506447,TON
221838,MT,30055,McCone,Fuel Comb - Residential - Oil,Ammonia,CAP,0.021990432999999997,TON
225289,MT,30047,Lake,Fuel Comb - Comm/Institutional - Oil,PM10 Primary (Filt + Cond),CAP,0.0073767419999999995,TON
226366,MT,30021,Dawson,Fuel Comb - Comm/Institutional - Biomass,Sulfur Dioxide,CAP,0.01567211,TON
227797,MT,30005,Blaine,Fuel Comb - Residential - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.01988619,TON
227873,MT,30023,Deer Lodge,Fuel Comb - Comm/Institutional - Natural Gas,Sulfur Dioxide,CAP,0.02115539,TON
230282,MT,30093,Silver Bow,Fuel Comb - Residential - Natural Gas,Carbon Monoxide,CAP,22.69045,TON
230491,MT,30029,Flathead,Fuel Comb - Comm/Institutional - Natural Gas,Volatile Organic Compounds,CAP,2.1555150000000003,TON
231207,MT,30097,Sweet Grass,Fuel Comb - Residential - Other,PM10 Primary (Filt + Cond),CAP,0.009312726,TON
236549,MT,30083,Richland,Fuel Comb - Residential - Wood,PM2.5 Primary (Filt + Cond),CAP,16.949560345,TON
236996,MT,30103,Treasure,Fuel Comb - Residential - Wood,Ammonia,CAP,0.11440667465,TON
241404,MT,30015,Chouteau,Fuel Comb - Residential - Oil,Nitrogen Oxides,CAP,0.74696534,TON
242423,MT,30049,Lewis and Clark,Fuel Comb - Comm/Institutional - Coal,Ammonia,CAP,0.0007392916,TON
242903,MT,30007,Broadwater,Fuel Comb - Residential - Natural Gas,PM10 Primary (Filt + Cond),CAP,0.007061445,TON
243109,MT,30109,Wibaux,Fuel Comb - Comm/Institutional - Biomass,Volatile Organic Compounds,CAP,0.0004890625,TON
244526,MT,30009,Carbon,Fuel Comb - Comm/Institutional - Coal,Sulfur Dioxide,CAP,0.03421652,TON
247936,MT,30091,Sheridan,Fuel Comb - Comm/Institutional - Biomass,Nitrogen Oxides,CAP,0.04910648,TON
248161,MT,30017,Custer,Fuel Comb - Comm/Institutional - Other,PM10 Primary (Filt + Cond),CAP,0.001702676,TON
248444,MT,30101,Toole,Fuel Comb - Comm/Institutional - Coal,Ammonia,CAP,0.0002359625,TON
248581,MT,30071,Phillips,Fuel Comb - Residential - Other,Sulfur Dioxide,CAP,0.01367088,TON
