,state,fips code,county,sector,pollutant desc,pollutant type(s),total emissions,emissions uom
75762,NC,37109,Lincoln,Fuel Comb - Comm/Institutional - Biomass,PM10 Primary (Filt + Cond),CAP,0.0,TON
77501,NC,37199,Yancey,Commercial Cooking,PM2.5 Primary (Filt + Cond),CAP,5.22287548,TON
77593,NC,37033,Caswell,Fuel Comb - Comm/Institutional - Coal,PM2.5 Primary (Filt + Cond),CAP,0.0,TON
79128,NC,37145,Person,Fuel Comb - Residential - Wood,PM10 Primary (Filt + Cond),CAP,56.071596121000006,TON
79336,NC,37029,Camden,Fuel Comb - Comm/Institutional - Coal,Volatile Organic Compounds,CAP,0.0,TON
80420,NC,37079,Greene,Fuel Comb - Residential - Other,Volatile Organic Compounds,CAP,0.2768408,TON
80900,NC,37125,Moore,Fuel Comb - Comm/Institutional - Oil,Nitrogen Oxides,CAP,27.21344106,TON
81120,NC,37179,Union,Fuel Comb - Residential - Oil,Volatile Organic Compounds,CAP,0.13849754,TON
81420,NC,37165,Scotland,Fuel Comb - Residential - Wood,PM10 Primary (Filt + Cond),CAP,28.120630549,TON
81439,NC,37049,Craven,Fuel Comb - Residential - Wood,Nitrogen Oxides,CAP,10.73714275,TON
83978,NC,37129,New Hanover,Fuel Comb - Residential - Wood,Sulfur Dioxide,CAP,2.3674163405,TON
83979,NC,37129,New Hanover,Fuel Comb - Residential - Wood,Carbon Monoxide,CAP,852.1838502999999,TON
84692,NC,37029,Camden,Fuel Comb - Residential - Other,PM2.5 Primary (Filt + Cond),CAP,0.0056636030000000006,TON
86702,NC,37199,Yancey,Fuel Comb - Comm/Institutional - Coal,Nitrogen Oxides,CAP,0.0,TON
88574,NC,37199,Yancey,Fuel Comb - Comm/Institutional - Other,Volatile Organic Compounds,CAP,0.0110619,TON
89744,NC,37165,Scotland,Fuel Comb - Comm/Institutional - Biomass,Carbon Monoxide,CAP,0.0,TON
89765,NC,37129,New Hanover,Fuel Comb - Residential - Oil,PM10 Primary (Filt + Cond),CAP,0.46104355,TON
90570,NC,37107,Lenoir,Fuel Comb - Residential - Oil,PM2.5 Primary (Filt + Cond),CAP,0.26813252,TON
90721,NC,37197,Yadkin,Fuel Comb - Residential - Oil,Ammonia,CAP,0.40309927,TON
91083,NC,37091,Hertford,Fuel Comb - Comm/Institutional - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.14705264,TON
91132,NC,37013,Beaufort,Fuel Comb - Comm/Institutional - Oil,Volatile Organic Compounds,CAP,0.00034277529999999996,TON
91767,NC,37049,Craven,Fuel Comb - Comm/Institutional - Coal,Sulfur Dioxide,CAP,500.85,TON
92195,NC,37197,Yadkin,Fuel Comb - Residential - Natural Gas,PM10 Primary (Filt + Cond),CAP,0.008122367,TON
92613,NC,37063,Durham,Fuel Comb - Comm/Institutional - Biomass,Ammonia,CAP,0.0,TON
93903,NC,37181,Vance,Fuel Comb - Comm/Institutional - Other,Volatile Organic Compounds,CAP,0.060097300000000006,TON
