,State,County,Sector,Pollutant,Pollutant Type,Total Emissions,Emissions Unit of Measure
188,ID,Fremont,All Sectors,Methane,GHG,652.3865594416856,TON
189,ID,Fremont,All Sectors,Nitrous Oxide,GHG,25.675789978967998,TON
190,ID,Gem,All Sectors,Ammonia,CAP,1572.1765304876283,TON
191,ID,Gem,All Sectors,Carbon Monoxide,CAP,23389.794826733545,TON
192,ID,Gem,All Sectors,Nitrogen Oxides,CAP,5814.642125349478,TON
193,ID,Gem,All Sectors,PM10 Primary (Filt + Cond),CAP,14381.787085167862,TON
194,ID,Gem,All Sectors,PM2.5 Primary (Filt + Cond),CAP,3255.870724767114,TON
195,ID,Gem,All Sectors,Sulfur Dioxide,CAP,30.857600066083847,TON
196,ID,Gem,All Sectors,Volatile Organic Compounds,CAP,64554.795496089864,TON
197,ID,Gem,All Sectors,Carbon Dioxide,GHG,2447440.7033610493,TON
198,ID,Gem,All Sectors,Methane,GHG,652.3865594416856,TON
199,ID,Gem,All Sectors,Nitrous Oxide,GHG,25.675789978967998,TON
200,ID,Gooding,All Sectors,Ammonia,CAP,1572.1765304876283,TON
201,ID,Gooding,All Sectors,Carbon Monoxide,CAP,23389.794826733545,TON
202,ID,Gooding,All Sectors,Nitrogen Oxides,CAP,5814.642125349478,TON
203,ID,Gooding,All Sectors,PM10 Primary (Filt + Cond),CAP,14381.787085167862,TON
204,ID,Gooding,All Sectors,PM2.5 Primary (Filt + Cond),CAP,3255.870724767114,TON
205,ID,Gooding,All Sectors,Sulfur Dioxide,CAP,30.857600066083847,TON
206,ID,Gooding,All Sectors,Volatile Organic Compounds,CAP,64554.795496089864,TON
207,ID,Gooding,All Sectors,Carbon Dioxide,GHG,2447440.7033610493,TON
208,ID,Gooding,All Sectors,Methane,GHG,652.3865594416856,TON
209,ID,Gooding,All Sectors,Nitrous Oxide,GHG,25.675789978967998,TON
210,ID,Idaho,All Sectors,Ammonia,CAP,1572.1765304876283,TON
211,ID,Idaho,All Sectors,Carbon Monoxide,CAP,23389.794826733545,TON
212,ID,Idaho,All Sectors,Nitrogen Oxides,CAP,5814.642125349478,TON
213,ID,Idaho,All Sectors,PM10 Primary (Filt + Cond),CAP,14381.787085167862,TON
214,ID,Idaho,All Sectors,PM2.5 Primary (Filt + Cond),CAP,3255.870724767114,TON
215,ID,Idaho,All Sectors,Sulfur Dioxide,CAP,30.857600066083847,TON
