State,Metric,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ND,Commercial Sales Price (Dollars),5.64,5.56,5.65,6.04,6.73,4.69,7.04,8.05,10.11,9.3,8.64,9.83,6.95,6.82,6.86,5.69,6.02,7.99,6.94,5.93,6.04,6.48,6.56
ND,Commercial Transported Price (Dollars),,,,,,,,,,,,0.57,0.57,0.62,0.55,0.61,0.61,0.68,0.75,0.83,0.85,6.66,0.8
ND,Commercial Sales Revenue (Dollars),42069223,36930536,39920705,57468652,65578480,48574763,71196473,79661636,95009423,84254415,80331823,99305500,75712124,67019578,71201387,57544494,77403021,100857868,75861947,59726044,72103058,79301757,81907156
ND,Commercial Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,419798,444696,470755,437852,508509,593370,653759,637392,707340,807321,888878,802627
ND,Commercial Total Customers,14099,14422,15050,15531,15740,16093,16202,16443,16518,16848,17013,17284,17632,17823,18421,19089,19855,20687,21345,22023,22474,22880,23280
ND,Commercial Sales Customers,14038,14336,14971,15455,15661,16019,16106,16346,16416,16761,16925,17208,17557,17745,18347,19021,19788,20623,21283,21951,22417,22824,23227
ND,Commercial Transported Customers,61,86,79,76,79,74,96,97,102,87,88,76,75,78,74,68,67,64,62,72,57,56,53
ND,Industrial Total Volume (Mcf),20579586,20605646,17561123,14422518,17758608,19100903,14449424,16409239,11841386,14301856,18117254,21255139,15679626,23762239,28303130,26679577,27811832,27761833,31660420,31231603,32127286,35071629,36093271
ND,Industrial Sales Volume (Mcf),3796947,3012048,2623415,2002286,1741223,1750171,6626214,8391766,3256750,6046291,8718624,9824725,5455712,7063375,10582011,9246115,10533548,9634152,12279980,9875791,11252580,13377814,13828376
ND,Industrial Transported Volume (Mcf),16782639,17593598,14937708,12420232,16017385,17350732,7823210,8017473,8584636,8255565,9398630,11430414,10223914,16698864,17721119,17433462,17278284,18127681,19380440,21355812,20874706,21693815,22264895
ND,Industrial Sales Price (Dollars),3.45,3.04,3.29,4.72,5.28,3.86,5.18,6.63,9.46,7.55,6.96,8.64,5.78,5.66,5.61,4.67,4.86,6.18,4.44,3.51,4.08,4.58,3.93
ND,Industrial Transported Price (Dollars),,,,,,,,,,,,0.2,1.31,0.22,1.32,0.27,0.27,0.28,0.29,0.3,0.33,0.39,0.45
ND,Industrial Sales Revenue (Dollars),11572590,8484974,7342602,8282244,9172445,7549140,25739750,47812534,30423575,39527732,59786618,81534679,28443302,36853822,53967888,41402154,43569791,54024923,38457335,25867961,35453140,43947813,39040538
ND,Industrial Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,1205603,1100271,1823373,1972835,1863586,1965739,1996485,1888436,1893660,2060987,2470508,3213477
ND,Industrial Total Customers,216,221,226,192,203,223,234,241,239,241,253,271,279,307,259,260,266,269,286,286,274,272,270
ND,Industrial Sales Customers,167,172,179,147,157,165,177,183,191,198,206,217,232,255,204,206,211,210,223,222,205,201,198
ND,Industrial Transported Customers,49,49,47,45,46,58,57,58,48,43,47,54,47,52,55,54,55,59,63,64,69,71,72
ND,Electric Total Volume (Mcf),1131,900,4029,265,687,478,276,2772,448,1839,670,316,1197,342,369,533,382713,2230696,6082465,9946949,6273409,9587448,13245673
ND,Electric Sales Volume (Mcf),1131,900,4029,265,687,478,276,2772,448,1839,670,316,1197,342,369,533,0,1208,4121,6732,101312,179121,278629
ND,Electric Transported Volume (Mcf),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382713,2229488,6078344,9940217,6172097,9408327,12967044
ND,Electric Sales Price (Dollars),4.07,4.2,4.32,6.44,5.8,3.7,10.58,7.41,12.13,6.05,6.85,14.55,6.28,8.46,8.91,7.56,,7.39,6.12,4.83,4.06,4.31,3.93
ND,Electric Transported Price (Dollars),,,,,,,,,,,,,,,,,,,11.32,11.07,,,
ND,Electric Sales Revenue (Dollars),4604,3776,17391,1706,3985,1769,2921,20527,5433,11117,4589,4598,7522,2892,3287,4032,100,8922,25240,32527,300037,545131,606903
ND,Electric Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187219,1426718,0,0,0
ND,Electric Total Customers,1,1,1,7,6,5,5,5,5,6,5,5,5,5,5,4,5,6,7,7,7,7,7
ND,Electric Sales Customers,1,1,1,7,6,5,5,5,5,6,5,5,5,5,5,4,3,3,3,3,4,4,4
ND,Electric Transported Customers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,3,3,3
ND,Vehicle Fuel Total Volume (Mcf),4729,2719,3602,8602,9024,5024,3471,2807,2709,977,1150,1249,565,491,918,762,515,612,413,301,322,327,189
ND,Vehicle Fuel Sales Volume (Mcf),4658,2651,3602,8602,9024,5024,3471,2807,2709,977,1150,1249,565,491,918,762,515,612,413,301,322,327,189
ND,Vehicle Fuel Transported Volume (Mcf),71,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ND,Vehicle Fuel Sales Price (Dollars),3.92,4.01,4.5,5.51,6.32,3.88,6.84,8.61,10.21,11.11,8.25,11.32,8.69,8.84,8.08,6.17,8.63,9.86,9.7,9.25,9.89,9.69,9.38
ND,Vehicle Fuel Transported Price (Dollars),,,,,,,,,,,,,,,,,,,,,,,
ND,Vehicle Fuel Sales Revenue (Dollars),18257,10627,16203,47429,57044,19499,23747,24156,27658,10851,9482,14143,4908,4338,7420,4702,4446,6033,4005,2785,3186,3168,1772
ND,Vehicle Fuel Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ND,Vehicle Fuel Total Customers,6,6,4,4,4,4,4,4,4,4,3,2,2,3,2,2,2,2,2,2,2,1,1
ND,Vehicle Fuel Sales Customers,5,5,4,4,4,4,4,4,4,4,3,2,2,3,2,2,2,2,2,2,2,1,1
ND,Vehicle Fuel Transported Customers,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
