,Operator ID,Operator Name,Operator Type,State,2010 - Main Miles Built,2011 - Main Miles Built,2012 - Main Miles Built,2013 - Main Miles Built,2014 - Main Miles Built,2015 - Main Miles Built,2016 - Main Miles Built,2017 - Main Miles Built,2018 - Main Miles Built,2019 - Main Miles Built,2020 - Main Miles Built
94,32322,TEXAS STATE NATURAL GAS,Privately Owned,TX,3.06,7.9,3.51,1.2269999999999985,3.650000000000002,0.9100000000000001,0.05699999999999861,0.23000000000000043,1.3129999999999988,0.006000000000000227,0.164
95,32315,"GREATER MINNESOTA TRANSMISSION, LLC",Investor Owned,MN,0,0,0,0,67.7,30.629999999999995,72.21400000000001,58.298,18.17999999999998,0.0700000000000216,17.45
96,32313,ABACO ENERGY SERVICES LLC,Privately Owned,MT,0,0,0.142,0.010000000000000009,0.0,0.149,0.125,0.0,0.0,0.0,0
97,32307,VOLUNTEER ENERGY COOPERATIVE,Cooperative,TN,0,0,0,0,1,0,0,0,0,0,0
98,32291,DIRECT PROPANE SERVICES,Privately Owned,TX,3.1,-3.1,0,9.948,8.782,7.259999999999998,3.4800000000000004,1.3500000000000014,4.740000000000002,5.839999999999996,4
99,32282,JO-CARROLL ENERGY,Cooperative,IL,4,1,4,0,6,2,0,0,0,8.649999999999999,4.335
100,32235,RATON NATURAL GAS COMPANY,Investor Owned,NM,2,0,0,0,0,0,0,0,0,0,0
101,32201,"NEA CROSS OF NY, INC.",Privately Owned,NY,0,0,0,0,0,0,0,0,0,0,0
102,32198,MINNESOTA ENERGY RESOURCES CORPORATION,Investor Owned,MN,26.76,25.249999999999996,44.53000000000001,64.62999999999998,38.53,137.23000000000002,99.73000000000002,116.96999999999997,110.24000000000001,158.35000000000002,60.43
103,32196,OAKLAND YALOBUSHA NATURAL GAS DISTRICT,Municipal Owned,MS,39.014,1.0,0.0,0.0,0.0519999999999996,0.17499999999999716,0.0,0.4720000000000013,0.28999999999999915,5.789999999999999,50.916
104,32193,"GRANGER ENERGY, LLC",Privately Owned,IN,0,0,0,0,0,0,0,0,0,0,0
105,32192,"GRANGER ENERGY OF LAKE COUNTY, LLC",Privately Owned,OH,0,0,0,0,0,0,0,0,0,0,0
106,32180,SEBASTOPOL NATURAL GAS DISTRICT,Investor Owned,MS,50.06,-41.74,2.629999999999999,7.23,-1.7100000000000009,4.66,11.500000000000004,21.299999999999997,1.5,2.0,0
107,32173,BRIGHT ENERGY,Cooperative,OH,0,0,0,1.5,6.5,11,26.5,1.7000000000000028,0.0,0.09999999999999432,1.3
108,32170,AERO ENERGY,Cooperative,MD,0,0,0,0,0,0,0,0,0,0,5.18
109,32165,POWELL VALLEY UTILITY DISTRICT INC.,Municipal Owned,TN,12.5,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5,16
110,32162,OHM OPERATING,Privately Owned,TX,0,0,0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0
111,32147,MARATHON PIPE LINE LLC,Investor Owned,IL,0,0,0,0,0,0,0,0,0,0,0
112,32136,"GRANGER ENERGY  OF HONEY BROOK, LLC",Privately Owned,PA,0,0,0,0,0,0,0,0,0,0,0
113,32134,PATRIOTS ENERGY GROUP,Municipal Owned,SC,0,1.2,2.25,0.0,0.0,1.7800000000000002,1.0699999999999994,0.0,0.0,0.0,4.228
114,32133,CHAUTAUQUA UTILITIES INCORPORATED,Privately Owned,NY,0.036,0.013000000000000005,0.006999999999999999,0.22000000000000003,0.0,0.41999999999999993,0.1100000000000001,0.0,0.0,0.0,0
115,32122,"SAR GAS, INC.",Privately Owned,PA,1,0,0,0,0,0,0,0,0,0,1
116,32119,CITY OF VICTORVILLE,Municipal Owned,CA,0,5.868,0.0,0.15299999999999958,0.0,0.0,0.28300000000000036,1.4499999999999993,0.006000000000000227,0.0,0
117,32092,"ROSS ENERGY, LLC",Privately Owned,OH,0,0,0,0,0,0,0,0,0,0,0
118,32086,"KNOX ENERGY COOPERATIVE ASSOCIATION, INC. C/O UTILITY PIPELINE, LTD.",Cooperative,PA,2.301,14.235999999999999,0.3440000000000012,0.6799999999999997,3.5390000000000015,3.3699999999999974,-0.629999999999999,-0.8999999999999986,0.0,0.25,2.74
119,32085,"MADISON ENERGY COOPERATIVE ASSOCIATION, INC. C/O UTILITY PIPELINE, LTD.",Cooperative,OH,0,0.304,0.416,0.5700000000000001,4.61,3.4000000000000004,32.989999999999995,0.0,0.0,3.730000000000004,5.58
120,32084,"VILLAGE ENERGY COOPERATIVE ASSOCIATION, INC. C/O UTILITY PIPELINE, LTD.",Cooperative,OH,0.04,0.252,3.418,1.0,2.99,1.4999999999999991,2.5,4.020000000000001,2.83,7.009999999999998,5.88
121,32074,SUMMIT NATURAL GAS OF MISSOURI,Investor Owned,MO,43,8,123.74000000000001,653.54,13.07000000000005,39.59000000000003,7.349999999999909,-442.55999999999995,13.769999999999982,-5.5,4.75
122,32065,"TREMONT, CITY OF",Municipal Owned,MS,0,0,0,0,0,0,0,0,0,0,0
123,32061,"TEXAS COMMUNITY PROPANE, LTD.",Investor Owned,TX,0,0,2.66,1.0099999999999998,3.6340000000000003,2.299999999999999,1.75,0.886000000000001,2.4399999999999995,-14.68,0.026
124,32034,"NGO TRANSMISSION, INC.",Cooperative,OH,0,0,0,0,0,0,0,5.67,1.38,0.5,0.98
125,32024,"CENTERPOINT ENERGY INTRASTATE PIPELINES, INC.",Investor Owned,TX,0,0,0,1,1.6190000000000002,-0.001000000000000334,5.077999999999999,1.1710000000000012,5.940999999999999,3.533999999999999,0.135
126,32013,AMERIGAS PROPANE LP,Privately Owned,TX,0,0,0,0,0,0,11.14,0.0,17.86,0,0
127,31989,"FRENCH SETTLEMENT GAS, LLC",Privately Owned,LA,0,0,0,0,2,0,2,0,0,0,2
128,31985,THE VILLAGE OF OBETZ,Municipal Owned,OH,0,0,0,0.379,0.547,0.37,0.2629999999999999,0.01100000000000012,0.0,0.04699999999999993,0
129,31984,"RURAL WATER, SEWER, GAS & SOLID WASTE MGMT. DIST. #10 OF DELAWARE CTY, OK",Municipal Owned,OK,0,0,0,0,0,0,0,0,0,0,0
130,31981,"TEXAS KANSAS OKLAHOMA GAS, LLC",Privately Owned,TX,0,0,32.5,26.0,2.0,0.0,0.0,0.0,1.259999999999998,0.7100000000000009,13.88
131,31964,KAMPS PROPANE,Privately Owned,CA,0,0,0,0,0,0,0,0,0,0,0
132,31959,ALL AMERICAN ENERGY,Cooperative,OH,0.85,0.08600000000000008,0.0,21.924,0.0,0.0,0.0,16.060000000000002,5.229999999999997,0.020000000000003126,0.08
133,31955,CITY OF VERNON,Municipal Owned,CA,0,0,0,0,0,0,0,0,0,0.144,0.101
134,31940,"VALLEY RURAL UTILITY CO. C/O UTILITY PIPELINE, LTD.",Cooperative,IN,0,0,0,0,0,0,0,0,0,0,0
135,31935,ORANGE CITY MUNCIPAL UTILITIES,Municipal Owned,IA,0,0,1,0,0,1,0,0,1,0.6400000000000001,0.208
136,31911,"AMERICAN ENERGIES GAS SERVICE,  LLC",Privately Owned,KS,0,0,0,0,0,0,0,0,0,0,0
137,31907,NORTHWEST NATURAL GAS OF MURRAY COUNTY LLC,Privately Owned,MN,0,0,0.4,0.09999999999999998,1.2,0.19999999999999996,0.0,0.0,0.0,0.3200000000000003,0.32
138,31906,NORTHWEST NATURAL GAS LLC,Privately Owned,MN,0,0.1,0.35,1.0,4.7299999999999995,0.0,0.05000000000000071,0.0,0.0,0.019999999999999574,0.2
139,31896,"NORSTAR PIPELINE COMPANY, INC.",Privately Owned,AK,0,0,0,0,0,0,0,4.52,0.0,0.0,0
140,31860,TOWN OF FRANKLINTON,Municipal Owned,LA,0,0,31.83,-31.83,0,0,1.06,0.0,0.10999999999999988,0.0,0
141,31859,VILLAGE OF MORTON,Municipal Owned,IL,1,1,1,1,0,1,11,-8,2,0,1
142,31840,UNISOURCE ENERGY SERVICES,Investor Owned,AZ,5,3,4,1,1,14,7,12,15,16,18
143,31831,SENTRA CORPORATION,Privately Owned,KY,0,18,0,0,0,0,0,0,0,0,0.5
144,31808,CANAAN VALLEY GAS CO,Privately Owned,WV,2,0,0,1,0,1,0,0,2,1,0
145,31807,THOMPSON GAS INC,Privately Owned,WV,0.17,0.0,0.0,0.0,0.28900000000000003,0.567,0.0,0.129,0.7589999999999999,1.1370000000000002,1.478
146,31795,COLORADO CITY GAS DEPARTMENT,Municipal Owned,AZ,0,1,0,1,0,0,0,0,0,0,1
147,31794,MISSISSIPPI RIVER GAS LLC,Privately Owned,MS,0,3,0,0,0.43999999999999995,0.0,0.0,0.0,0.27,0.0,0
148,31770,LIBERTY UTILITIES (NEW ENGLAND NATURAL GAS COMPANY) CORP,Investor Owned,MA,8.01,9.235000000000001,7.481999999999999,10.307999999999996,14.764000000000003,10.363,11.821999999999996,15.944000000000003,19.75500000000001,13.347999999999999,21.898
149,31711,"SOUTHERN STAR CENTRAL GAS PIPELINE, INC",Privately Owned,TX,0,0,0,0,0,0,0,0,0,0,0
